split,cell_id,group,comparator,stratum,U_stratum,C_stratum,low_bins,high_bins,overlap_mass,weight,excess_NLL,Q1_U,Q5_U,Q1_M,Q5_M,Q1_C,Q5_C
consumed,70#7,PC_ON,CNN,22,5,2,14,77,14,0.0036900369003690036,0.04585314456773276,1.118526478608449,4.72185547243465,1.118526478608449,4.72185547243465,0.2309868137041728,0.14980466257442113
consumed,70#7,PC_ON,CNN,23,5,3,56,126,56,0.014760147601476014,0.036738500509904855,1.278407031049331,4.247920334339142,1.278407031049331,4.247920334339142,0.4558552484959364,0.39803643359078306
consumed,70#7,PC_ON,CNN,24,5,4,126,560,126,0.033210332103321034,-0.03206784572062581,1.5182279748497183,4.349364997322361,1.5182279748497183,4.349364997322361,1.1946215025942635,1.1292793237604202
consumed,70#7,PC_ON,CNN,25,5,5,259,1715,259,0.06826568265682657,0.03965443701533639,2.5440754034631956,4.812241092010014,2.5440754034631956,4.812241092010014,2.8962528759315775,4.228834958533522
consumed,70#15,PC_ON,LN,1,1,1,156,60,60,0.02145922746781116,0.013274882183484535,0.09284304444120678,0.08966466255369596,-0.026293714279465627,-0.0427298890252132,0.04577562069943479,0.059655147761804986
consumed,70#15,PC_ON,LN,2,1,2,282,132,132,0.04721030042918455,-0.022614617039142415,0.10929915502276073,0.1017344933689773,-0.030987645270292984,-0.0044033982697080564,0.18735369626417794,0.18789173343115675
consumed,70#15,PC_ON,LN,3,1,3,390,288,288,0.10300429184549356,-0.021243758486772873,0.10103266989328684,0.10604236005747225,-0.018684827460226816,-0.02636871981182291,0.48482461277341754,0.4868299751591015
consumed,70#15,PC_ON,LN,4,1,4,54,96,54,0.019313304721030045,-0.024941969699352307,0.09629001752990815,0.08566802142377128,0.0135728659418722,0.012856174220360117,0.9960391653391222,1.1299448129539087
consumed,70#15,PC_ON,LN,5,1,5,12,126,12,0.004291845493562232,0.08375002809480853,0.06516058393754065,0.11246089547196225,-0.04760961304418743,-0.025189441642613105,2.447869599564001,5.508632928900798
consumed,70#15,PC_ON,LN,6,2,1,420,186,186,0.06652360515021459,-0.019910352158372478,0.3250451153925886,0.31048282172020164,-0.20659821360937453,-0.2688182551158412,0.04789858499009694,0.06101296534912
