split,cell_id,group,comparator,stratum,U_stratum,C_stratum,low_bins,high_bins,overlap_mass,weight,excess_NLL,Q1_U,Q5_U,Q1_M,Q5_M,Q1_C,Q5_C
development,68#11,PC_OFF,LN,9,2,4,35,14,14,0.0392156862745098,0.01846565655822489,0.3554181163509686,0.3368904280165831,0.05914457688728968,-0.10286330307523407,0.7949263776342073,0.6766965864226222
development,68#11,PC_OFF,LN,10,2,5,14,42,14,0.0392156862745098,0.03322957093831849,0.39865795771280926,0.2887149400388201,-0.39865795771280926,-0.14202538991553915,2.1796770244836807,6.968066063502597
development,68#11,PC_OFF,LN,11,3,1,42,28,28,0.0784313725490196,-0.10983334365077835,0.5265281034840477,0.5003604640563328,-0.5265281034840477,-0.5003604640563328,0.05533521042929754,0.03289762387673062
development,68#11,PC_OFF,LN,12,3,2,21,0,0,0.0,,0.544950677288903,,-0.544950677288903,,0.1682289805677202,
development,68#11,PC_OFF,LN,13,3,3,21,14,14,0.0392156862745098,0.19761667298871996,0.48633278409639996,0.527188315987587,-0.16344844301541644,-0.527188315987587,0.3073984496295452,0.46830206084996456
development,68#11,PC_OFF,LN,14,3,4,28,28,28,0.0784313725490196,-0.07134911800440502,0.5868948064744473,0.5266212498148283,-0.29554912323753035,-0.5266212498148283,1.017864101876815,0.6794304728973657
development,68#11,PC_OFF,LN,15,3,5,0,0,0,0.0,,,,,,,
development,68#11,PC_OFF,LN,16,4,1,21,0,0,0.0,,0.694842086897956,,-0.694842086897956,,0.03551140758726331,
development,68#11,PC_OFF,LN,17,4,2,28,7,7,0.0196078431372549,0.19237748521835488,0.6795066495736439,0.6546682715415955,-0.6795066495736439,-0.6546682715415955,0.17691457768281307,0.19901478290557864
development,68#11,PC_OFF,LN,18,4,3,7,0,0,0.0,,0.7969480355580646,,-0.7969480355580646,,0.2761309345563252,
development,68#11,PC_OFF,LN,19,4,4,35,14,14,0.0392156862745098,0.023228136059310536,0.7752056618531545,0.7065457503000895,0.4814177850882212,0.7065457503000895,0.976637221694303,0.8883255664259194
development,68#11,PC_OFF,LN,20,4,5,0,14,0,0.0,,,0.7516664465268452,,-0.7516664465268452,,3.2807771464188895
development,68#11,PC_OFF,LN,21,5,1,0,0,0,0.0,,,,,,,
development,68#11,PC_OFF,LN,22,5,2,0,7,0,0.0,,,2.8184003829956055,,2.8184003829956055,,0.21978787581125925
development,68#11,PC_OFF,LN,23,5,3,14,7,7,0.0196078431372549,0.025923633617303325,1.065889189640681,10.954821586608887,1.065889189640681,10.954821586608887,0.31239051620165503,0.2973769505818691
development,68#11,PC_OFF,LN,24,5,4,14,42,14,0.0392156862745098,-0.16269053141495857,1.430943955977758,1.2588559745086563,1.430943955977758,1.2588559745086563,1.0238785837621736,1.3157281476572582
development,68#11,PC_OFF,LN,25,5,5,63,77,63,0.17647058823529413,-0.0727953946744234,3.478082783796169,6.589819018587921,3.478082783796169,6.589819018587921,3.4255215875390497,5.592420777305961
development,68#11,PC_OFF,CNN,1,1,1,7,42,7,0.0196078431372549,-0.1057928753550697,0.08056640011879303,0.09479974872536127,-0.08056640011879303,0.06800782680511473,0.00587299225541453,0.04438795128630267
development,68#11,PC_OFF,CNN,2,1,2,28,35,28,0.0784313725490196,-0.19241271385994807,0.09463697702934346,0.09392043661015728,0.05729027309765418,-0.02075193584896624,0.15068805898772553,0.14964466655316452
development,68#11,PC_OFF,CNN,3,1,3,14,77,14,0.0392156862745098,0.013851166395909248,0.07751255040057003,0.10270831590010361,0.052822096195692794,-0.006848172905544442,0.4620991627840945,0.3867036387832327
development,68#11,PC_OFF,CNN,4,1,4,42,28,28,0.0784313725490196,0.1384172333403632,0.13656054648648325,0.0661823699871699,0.08212612035761897,0.0661823699871699,0.8455991915155511,1.2399188814063866
development,68#11,PC_OFF,CNN,5,1,5,7,28,7,0.0196078431372549,-0.09543282357587318,0.19398236274719238,0.11350009171292186,-0.19398236274719238,-0.05229937983676792,2.3881078561147047,10.401734749010455
development,68#11,PC_OFF,CNN,6,2,1,56,7,7,0.0196078431372549,0.1811642269749394,0.37792598704497016,0.43629941344261164,-0.3244703896343708,-0.43629941344261164,0.0597868456194798,0.07059722145398456
development,68#11,PC_OFF,CNN,7,2,2,28,42,28,0.0784313725490196,-0.01240150788965426,0.3973637906213602,0.35781793689562214,-0.25089411561687786,-0.1521717498285903,0.19290638633538038,0.16980344160563415
development,68#11,PC_OFF,CNN,8,2,3,63,35,35,0.09803921568627451,0.10833351115869791,0.33472796115610337,0.338089740027984,-0.33472796115610337,-0.06830764388044677,0.3110420374130762,0.3807863434155782
development,68#11,PC_OFF,CNN,9,2,4,35,14,14,0.0392156862745098,0.40864966602821684,0.3554181163509686,0.3368904280165831,0.05914457688728968,-0.10286330307523407,0.7949263776342073,0.6766965864226222
development,68#11,PC_OFF,CNN,10,2,5,14,42,14,0.0392156862745098,0.02669200343948989,0.39865795771280926,0.2887149400388201,-0.39865795771280926,-0.14202538991553915,2.1796770244836807,6.968066063502597
development,68#11,PC_OFF,CNN,11,3,1,42,28,28,0.0784313725490196,0.04949242399096719,0.5265281034840477,0.5003604640563328,-0.5265281034840477,-0.5003604640563328,0.05533521042929754,0.03289762387673062
development,68#11,PC_OFF,CNN,12,3,2,21,0,0,0.0,,0.544950677288903,,-0.544950677288903,,0.1682289805677202,
development,68#11,PC_OFF,CNN,13,3,3,21,14,14,0.0392156862745098,0.19085110473720468,0.48633278409639996,0.527188315987587,-0.16344844301541644,-0.527188315987587,0.3073984496295452,0.46830206084996456
development,68#11,PC_OFF,CNN,14,3,4,28,28,28,0.0784313725490196,0.06876528099022533,0.5868948064744473,0.5266212498148283,-0.29554912323753035,-0.5266212498148283,1.017864101876815,0.6794304728973657
development,68#11,PC_OFF,CNN,15,3,5,0,0,0,0.0,,,,,,,
development,68#11,PC_OFF,CNN,16,4,1,21,0,0,0.0,,0.694842086897956,,-0.694842086897956,,0.03551140758726331,
development,68#11,PC_OFF,CNN,17,4,2,28,7,7,0.0196078431372549,-0.5505867542980997,0.6795066495736439,0.6546682715415955,-0.6795066495736439,-0.6546682715415955,0.17691457768281307,0.19901478290557864
