cell_id,group,mode,channel,profile,region,current_overshoot_above_plateaus,previous_overshoot_above_plateaus,delta_overshoot_above_plateaus,current_undershoot_below_plateaus,previous_undershoot_below_plateaus,delta_undershoot_below_plateaus,current_max_minus_upper_plateau,previous_max_minus_upper_plateau,delta_max_minus_upper_plateau,current_min_minus_lower_plateau,previous_min_minus_lower_plateau,delta_min_minus_lower_plateau,current_max_x_pixels,previous_max_x_pixels,delta_max_x_pixels,current_min_x_pixels,previous_min_x_pixels,delta_min_x_pixels
67#7,MC_ON,H1_off,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.11133909225463867,-0.12046337127685547,0.009124279022216797,0.0,0.0,0.0,-2,-2,0.0,-6,-6,0.0
67#7,MC_ON,H1_off,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11133909225463867,0.12046349048614502,-0.009124398231506348,4,4,0.0,2,2,0.0
67#7,MC_ON,H1_off,probability,ramp,dark_boundary,0.0,0.0,0.0,-0.0008679181337356567,-0.0009313672780990601,6.344914436340332e-05,-0.01817074418067932,-0.019222721457481384,0.001051977276802063,-0.0008679181337356567,-0.0009313672780990601,6.344914436340332e-05,-2,-2,0.0,-5,-5,0.0
67#7,MC_ON,H1_off,probability,ramp,bright_boundary,0.0009173601865768433,0.001007169485092163,-8.980929851531982e-05,0.0,0.0,0.0,0.0009173601865768433,0.001007169485092163,-8.980929851531982e-05,0.01726144552230835,0.018271416425704956,-0.0010099709033966064,5,5,0.0,2,2,0.0
67#7,MC_ON,H1_off,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.01817074418067932,-0.019222736358642578,0.0010519921779632568,0.0,0.0,0.0,-2,-2,0.0,-6,-6,0.0
67#7,MC_ON,H1_off,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726144552230835,0.018271416425704956,-0.0010099709033966064,4,4,0.0,2,2,0.0
67#7,MC_ON,AC_off,logit,ramp,dark_boundary,0.0,0.0,0.0,-0.0011754035949707031,-0.003516674041748047,0.0023412704467773438,-0.3803246021270752,-0.4157947301864624,0.03547012805938721,-0.0011754035949707031,-0.003516674041748047,0.0023412704467773438,-2,-2,0.0,-5,-5,0.0
67#7,MC_ON,AC_off,logit,ramp,bright_boundary,0.0011752843856811523,0.0035164356231689453,-0.002341151237487793,0.0,0.0,0.0,0.0011752843856811523,0.0035164356231689453,-0.002341151237487793,0.38032424449920654,0.4157944917678833,-0.03547024726867676,5,5,0.0,2,2,0.0
67#7,MC_ON,AC_off,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.3798065185546875,-0.41424381732940674,0.03443729877471924,0.0,0.0,0.0,-2,-2,0.0,-6,-6,0.0
67#7,MC_ON,AC_off,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37980639934539795,0.4142439365386963,-0.03443753719329834,4,4,0.0,2,2,0.0
67#7,MC_ON,AC_off,probability,ramp,dark_boundary,0.0,0.0,0.0,-0.00014698505401611328,-0.0004210919141769409,0.00027410686016082764,-0.06355291604995728,-0.06825873255729675,0.0047058165073394775,-0.00014698505401611328,-0.0004210919141769409,0.00027410686016082764,-2,-2,0.0,-5,-5,0.0
67#7,MC_ON,AC_off,probability,ramp,bright_boundary,0.00022789835929870605,0.0006778985261917114,-0.00045000016689300537,0.0,0.0,0.0,0.00022789835929870605,0.0006778985261917114,-0.00045000016689300537,0.05753187835216522,0.06125923991203308,-0.003727361559867859,5,5,0.0,2,2,0.0
67#7,MC_ON,AC_off,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.06347952783107758,-0.068045973777771,0.00456644594669342,0.0,0.0,0.0,-2,-2,0.0,-6,-6,0.0
67#7,MC_ON,AC_off,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05744032561779022,0.06098887324333191,-0.003548547625541687,4,4,0.0,2,2,0.0
67#14,PC_ON,normal,logit,ramp,dark_boundary,0.0,0.0,0.0,-0.0026258230209350586,-0.0034667253494262695,0.0008409023284912109,-0.1883162260055542,-0.20933139324188232,0.021015167236328125,-0.0026258230209350586,-0.0034667253494262695,0.0008409023284912109,-2,-2,0.0,-5,-5,0.0
67#14,PC_ON,normal,logit,ramp,bright_boundary,0.00262606143951416,0.003466486930847168,-0.0008404254913330078,0.0,0.0,0.0,0.00262606143951416,0.003466486930847168,-0.0008404254913330078,0.18831658363342285,0.20933127403259277,-0.021014690399169922,5,5,0.0,2,2,0.0
67#14,PC_ON,normal,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.18824219703674316,-0.20837771892547607,0.02013552188873291,0.0,0.0,0.0,-2,-2,0.0,-6,-6,0.0
67#14,PC_ON,normal,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18824243545532227,0.20837795734405518,-0.02013552188873291,4,4,0.0,2,2,0.0
67#14,PC_ON,normal,probability,ramp,dark_boundary,0.0,0.0,0.0,-0.0003026425838470459,-0.00041644275188446045,0.00011380016803741455,-0.024824991822242737,-0.02927131950855255,0.0044463276863098145,-0.0003026425838470459,-0.00041644275188446045,0.00011380016803741455,-2,-2,0.0,-5,-5,0.0
67#14,PC_ON,normal,probability,ramp,bright_boundary,0.0003705918788909912,0.000524863600730896,-0.00015427172183990479,0.0,0.0,0.0,0.0003705918788909912,0.000524863600730896,-0.00015427172183990479,0.023377805948257446,0.02746102213859558,-0.004083216190338135,5,5,0.0,2,2,0.0
67#14,PC_ON,normal,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.024816036224365234,-0.02914978563785553,0.004333749413490295,0.0,0.0,0.0,-2,-2,0.0,-6,-6,0.0
67#14,PC_ON,normal,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023367762565612793,0.027324199676513672,-0.003956437110900879,4,4,0.0,2,2,0.0
67#14,PC_ON,H1_off,logit,ramp,dark_boundary,0.0,0.0,0.0,-0.0024383068084716797,-0.0011614561080932617,-0.001276850700378418,-0.1912294626235962,-0.24294936656951904,0.05171990394592285,-0.0024383068084716797,-0.0011614561080932617,-0.001276850700378418,-2,-2,0.0,-5,-5,0.0
67#14,PC_ON,H1_off,logit,ramp,bright_boundary,0.0024383068084716797,0.0011614561080932617,0.001276850700378418,0.0,0.0,0.0,0.0024383068084716797,0.0011614561080932617,0.001276850700378418,0.1912294626235962,0.2429492473602295,-0.0517197847366333,5,5,0.0,2,2,0.0
67#14,PC_ON,H1_off,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.1912294626235962,-0.24294936656951904,0.05171990394592285,0.0,0.0,0.0,-2,-2,0.0,-6,-6,0.0
67#14,PC_ON,H1_off,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1912294626235962,0.2429492473602295,-0.0517197847366333,4,4,0.0,2,2,0.0
67#14,PC_ON,H1_off,probability,ramp,dark_boundary,0.0,0.0,0.0,-0.00028055906295776367,-0.00013671815395355225,-0.00014384090900421143,-0.025219634175300598,-0.034143269062042236,0.008923634886741638,-0.00028055906295776367,-0.00013671815395355225,-0.00014384090900421143,-2,-2,0.0,-5,-5,0.0
67#14,PC_ON,H1_off,probability,ramp,bright_boundary,0.0003446042537689209,0.0001789778470993042,0.0001656264066696167,0.0,0.0,0.0,0.0003446042537689209,0.0001789778470993042,0.0001656264066696167,0.02372986078262329,0.03171645104885101,-0.007986590266227722,5,5,0.0,2,2,0.0
67#14,PC_ON,H1_off,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.025219634175300598,-0.034143269062042236,0.008923634886741638,0.0,0.0,0.0,-2,-2,0.0,-6,-6,0.0
67#14,PC_ON,H1_off,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02372986078262329,0.03171645104885101,-0.007986590266227722,4,4,0.0,2,2,0.0
67#14,PC_ON,AC_off,logit,ramp,dark_boundary,0.0,0.0,0.0,-0.0003409385681152344,-0.0035719871520996094,0.003231048583984375,-0.3872220516204834,-0.36493468284606934,-0.022287368774414062,-0.0003409385681152344,-0.0035719871520996094,0.003231048583984375,-2,-2,0.0,-5,-5,0.0
67#14,PC_ON,AC_off,logit,ramp,bright_boundary,0.0003409385681152344,0.0035718679428100586,-0.0032309293746948242,0.0,0.0,0.0,0.0003409385681152344,0.0035718679428100586,-0.0032309293746948242,0.38722217082977295,0.36493468284606934,0.022287487983703613,5,5,0.0,2,2,0.0
67#14,PC_ON,AC_off,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.3870769739151001,-0.3634103536605835,-0.0236666202545166,0.0,0.0,0.0,-2,-2,0.0,-6,-6,0.0
67#14,PC_ON,AC_off,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38707709312438965,0.3634103536605835,0.023666739463806152,4,4,0.0,2,2,0.0
67#14,PC_ON,AC_off,probability,ramp,dark_boundary,0.0,0.0,0.0,-3.249943256378174e-05,-0.0003757476806640625,0.00034324824810028076,-0.05278298258781433,-0.05219973623752594,-0.0005832463502883911,-3.249943256378174e-05,-0.0003757476806640625,0.00034324824810028076,-2,-2,0.0,-5,-5,0.0
67#14,PC_ON,AC_off,probability,ramp,bright_boundary,5.6236982345581055e-05,0.0006020516157150269,-0.0005458146333694458,0.0,0.0,0.0,5.6236982345581055e-05,0.0006020516157150269,-0.0005458146333694458,0.04662233591079712,0.04686036705970764,-0.00023803114891052246,5,5,0.0,2,2,0.0
67#14,PC_ON,AC_off,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.0,0.0,0.0,-0.052766889333724976,-0.052017152309417725,-0.000749737024307251,0.0,0.0,0.0,-2,-2,0.0,-6,-6,0.0
67#14,PC_ON,AC_off,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04660114645957947,0.046629056334495544,-2.790987491607666e-05,4,4,0.0,2,2,0.0
