group,mode,channel,profile,region,n_cells,current_overshoot_above_plateaus,previous_overshoot_above_plateaus,delta_overshoot_above_plateaus,current_undershoot_below_plateaus,previous_undershoot_below_plateaus,delta_undershoot_below_plateaus,current_max_minus_upper_plateau,previous_max_minus_upper_plateau,delta_max_minus_upper_plateau,current_min_minus_lower_plateau,previous_min_minus_lower_plateau,delta_min_minus_lower_plateau,current_max_x_pixels,previous_max_x_pixels,delta_max_x_pixels,current_min_x_pixels,previous_min_x_pixels,delta_min_x_pixels
all,AC_off,probability,matched_uniform,dark_boundary,22,0.0,0.0,0.0,0.0,0.0,0.0,-0.032585229047320106,-0.03737091476267034,0.004785685715350238,0.02355862171812491,0.027261142364957115,-0.0037025206468322062,-3.4545454545454546,-3.4545454545454546,0.0,-4.545454545454546,-4.545454545454546,0.0
PC_OFF,AC_off,probability,matched_uniform,bright_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.076752208173275,-0.0961400531232357,0.01938784494996071,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0
all,AC_off,probability,matched_uniform,bright_boundary,22,0.0,0.0,0.0,0.0,0.0,0.0,-0.02603313394568183,-0.030482770367102188,0.004449636421420358,0.029539862478321247,0.03334081206809391,-0.003800949589772658,3.272727272727273,3.272727272727273,0.0,2.727272727272727,2.727272727272727,0.0
MC_OFF,normal,logit,ramp,dark_boundary,4,0.004754364490509033,0.006233930587768555,-0.0014795660972595215,0.0,0.0,0.0,0.004754364490509033,0.006233930587768555,-0.0014795660972595215,0.18662558495998383,0.17829862236976624,0.00832696259021759,-5.0,-5.0,0.0,-2.0,-2.0,0.0
MC_OFF,normal,logit,ramp,bright_boundary,4,0.0,0.0,0.0,-0.004754394292831421,-0.006234079599380493,0.0014796853065490723,-0.18662576377391815,-0.17829865217208862,-0.008327111601829529,-0.004754394292831421,-0.006234079599380493,0.0014796853065490723,2.0,2.0,0.0,5.0,5.0,0.0
MC_OFF,normal,logit,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18627002835273743,0.17755982279777527,0.008710205554962158,-6.0,-6.0,0.0,-2.0,-2.0,0.0
MC_OFF,normal,logit,matched_uniform,bright_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.18627005815505981,-0.17755994200706482,-0.008710116147994995,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0
MC_OFF,normal,probability,ramp,dark_boundary,4,0.0008660629391670227,0.0011309944093227386,-0.00026493147015571594,0.0,0.0,0.0,0.0008660629391670227,0.0011309944093227386,-0.00026493147015571594,0.029607120901346207,0.028316259384155273,0.0012908615171909332,-5.0,-5.0,0.0,-2.0,-2.0,0.0
MC_OFF,normal,probability,ramp,bright_boundary,4,0.0,0.0,0.0,-0.0007532574236392975,-0.0009743086993694305,0.00022105127573013306,-0.03142910450696945,-0.030039723962545395,-0.001389380544424057,-0.0007532574236392975,-0.0009743086993694305,0.00022105127573013306,2.0,2.0,0.0,5.0,5.0,0.0
MC_OFF,normal,probability,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295463427901268,0.02819007635116577,0.001356266438961029,-6.0,-6.0,0.0,-2.0,-2.0,0.0
MC_OFF,normal,probability,matched_uniform,bright_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.03137306496500969,-0.029924768954515457,-0.0014482960104942322,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0
MC_OFF,H1_off,logit,ramp,dark_boundary,4,0.003893330693244934,0.004435285925865173,-0.0005419552326202393,0.0,0.0,0.0,0.003893330693244934,0.004435285925865173,-0.0005419552326202393,0.19913822412490845,0.2046421617269516,-0.005503937602043152,-5.0,-5.0,0.0,-2.0,-2.0,0.0
MC_OFF,H1_off,logit,ramp,bright_boundary,4,0.0,0.0,0.0,-0.0038933157920837402,-0.004435181617736816,0.0005418658256530762,-0.19913817942142487,-0.20464208722114563,0.005503907799720764,-0.0038933157920837402,-0.004435181617736816,0.0005418658256530762,2.0,2.0,0.0,5.0,5.0,0.0
MC_OFF,H1_off,logit,matched_uniform,dark_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19913822412490845,0.2046421617269516,-0.005503937602043152,-6.0,-6.0,0.0,-2.0,-2.0,0.0
MC_OFF,H1_off,logit,matched_uniform,bright_boundary,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.19913817942142487,-0.20464208722114563,0.005503907799720764,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0
MC_OFF,H1_off,probability,ramp,dark_boundary,4,0.0007183477282524109,0.0008214861154556274,-0.00010313838720321655,0.0,0.0,0.0,0.0007183477282524109,0.0008214861154556274,-0.00010313838720321655,0.03158532455563545,0.03243164345622063,-0.0008463189005851746,-5.0,-5.0,0.0,-2.0,-2.0,0.0
MC_OFF,H1_off,probability,ramp,bright_boundary,4,0.0,0.0,0.0,-0.0006175152957439423,-0.000694572925567627,7.705762982368469e-05,-0.03358064964413643,-0.03458884730935097,0.0010081976652145386,-0.0006175152957439423,-0.000694572925567627,7.705762982368469e-05,2.0,2.0,0.0,5.0,5.0,0.0
