cell_id,group,mode,channel,family,name,kind,current_mean_on,previous_mean_on,delta_mean_on,current_peak_signed,previous_peak_signed,delta_peak_signed,current_peak_absolute,previous_peak_absolute,delta_peak_absolute,current_peak_latency_from_onset_ms,previous_peak_latency_from_onset_ms,delta_peak_latency_from_onset_ms,current_integral_response_seconds,previous_integral_response_seconds,delta_integral_response_seconds,current_onset_50ms_mean,previous_onset_50ms_mean,delta_onset_50ms_mean,current_offset_50ms_mean,previous_offset_50ms_mean,delta_offset_50ms_mean
67#34,PC_ON,AC_off,logit,Mach,Mach_x+04,clamp_minus_normal,0.09274306893348694,0.14689035713672638,-0.05414728820323944,0.2726544141769409,0.35896599292755127,-0.08631157875061035,0.2726544141769409,0.35896599292755127,-0.08631157875061035,126.66665649414062,113.33331298828125,13.333343505859375,0.028799419403076173,0.0374287223815918,-0.008629302978515625,0.010596483945846558,0.041841551661491394,-0.031245067715644836,0.25831711292266846,0.32053524255752563,-0.06221812963485718
67#34,PC_ON,AC_off,logit,Mach,Mach_x+05,response_minus_blank,0.20165176689624786,0.26020506024360657,-0.058553293347358704,0.3534473180770874,0.43941235542297363,-0.08596503734588623,0.3534473180770874,0.43941235542297363,-0.08596503734588623,113.33331298828125,106.66665649414062,6.666656494140625,0.035211251576741535,0.04358347574869792,-0.008372224171956384,0.09996458888053894,0.13356146216392517,-0.03359687328338623,0.2532130777835846,0.3046778440475464,-0.05146476626396179
67#34,PC_ON,AC_off,logit,Mach,Mach_x+05,clamp_minus_normal,0.10049701482057571,0.15803679823875427,-0.05753978341817856,0.2954767942428589,0.38555586338043213,-0.09007906913757324,0.2954767942428589,0.38555586338043213,-0.09007906913757324,126.66665649414062,113.33331298828125,13.333343505859375,0.031216087341308593,0.04017558733622233,-0.008959499994913741,0.011483684182167053,0.04508574306964874,-0.03360205888748169,0.2799299359321594,0.3440849483013153,-0.06415501236915588
67#34,PC_ON,AC_off,logit,Mach,Mach_x+06,response_minus_blank,0.2015579342842102,0.2594113349914551,-0.05785340070724487,0.35314738750457764,0.4370858669281006,-0.08393847942352295,0.35314738750457764,0.4370858669281006,-0.08393847942352295,113.33331298828125,106.66665649414062,6.666656494140625,0.035178629557291674,0.04333169619242351,-0.008153066635131836,0.09995622932910919,0.13349348306655884,-0.033537253737449646,0.25291430950164795,0.3023175001144409,-0.04940319061279297
67#34,PC_ON,AC_off,logit,Mach,Mach_x+06,clamp_minus_normal,0.10204944759607315,0.1593930423259735,-0.05734359472990036,0.3000214099884033,0.38805079460144043,-0.08802938461303711,0.3000214099884033,0.38805079460144043,-0.08802938461303711,126.66665649414062,113.33331298828125,13.333343505859375,0.031700420379638675,0.04040085474650065,-0.008700434366861978,0.01166275143623352,0.04555702209472656,-0.03389427065849304,0.28422895073890686,0.34605130553245544,-0.061822354793548584
67#34,PC_ON,AC_off,logit,Mach,Mach_x+07,response_minus_blank,0.20151230692863464,0.25902432203292847,-0.05751201510429382,0.35300159454345703,0.43595170974731445,-0.08295011520385742,0.35300159454345703,0.43595170974731445,-0.08295011520385742,113.33331298828125,106.66665649414062,6.666656494140625,0.035162766774495445,0.043208961486816404,-0.008046194712320959,0.09995214641094208,0.13346034288406372,-0.03350819647312164,0.2527691125869751,0.301166832447052,-0.048397719860076904
67#34,PC_ON,AC_off,logit,Mach,Mach_x+07,clamp_minus_normal,0.1020323857665062,0.15918776392936707,-0.05715537816286087,0.29988813400268555,0.38704705238342285,-0.0871589183807373,0.29988813400268555,0.38704705238342285,-0.0871589183807373,126.66665649414062,113.33331298828125,13.333343505859375,0.03168412526448568,0.040275252660115564,-0.008591127395629887,0.011662706732749939,0.04554915428161621,-0.03388644754886627,0.2841024398803711,0.3449987769126892,-0.060896337032318115
67#34,PC_ON,AC_off,logit,Mach,Mach_x+08,response_minus_blank,0.2014947086572647,0.2588742971420288,-0.0573795884847641,0.35294532775878906,0.43551206588745117,-0.08256673812866211,0.35294532775878906,0.43551206588745117,-0.08256673812866211,113.33331298828125,106.66665649414062,6.666656494140625,0.03515664100646973,0.04316140174865723,-0.008004760742187499,0.09995059669017792,0.13344746828079224,-0.03349687159061432,0.25271302461624146,0.3007209300994873,-0.04800790548324585
67#34,PC_ON,AC_off,logit,Mach,Mach_x+08,clamp_minus_normal,0.10202500969171524,0.1591012179851532,-0.05707620829343796,0.2998303174972534,0.3866240978240967,-0.08679378032684326,0.2998303174972534,0.3866240978240967,-0.08679378032684326,126.66665649414062,113.33331298828125,13.333343505859375,0.0316770617167155,0.04022231101989746,-0.008545249303181963,0.011662706732749939,0.04554584622383118,-0.03388313949108124,0.2840476632118225,0.34455516934394836,-0.060507506132125854
67#34,PC_ON,AC_off,logit,Mach,Mach_x+09,response_minus_blank,0.20148968696594238,0.2588310241699219,-0.05734133720397949,0.3529292345046997,0.4353853464126587,-0.08245611190795898,0.3529292345046997,0.4353853464126587,-0.08245611190795898,113.33331298828125,106.66665649414062,6.666656494140625,0.035154895782470705,0.0431476910909017,-0.007992795308430993,0.0999501496553421,0.13344377279281616,-0.03349362313747406,0.25269705057144165,0.3005923330783844,-0.04789528250694275
