group,mode,channel,family,name,kind,current_mean_on,previous_mean_on,delta_mean_on,current_peak_signed,previous_peak_signed,delta_peak_signed,current_peak_absolute,previous_peak_absolute,delta_peak_absolute,current_peak_latency_from_onset_ms,previous_peak_latency_from_onset_ms,delta_peak_latency_from_onset_ms,current_integral_response_seconds,previous_integral_response_seconds,delta_integral_response_seconds,current_onset_50ms_mean,previous_onset_50ms_mean,delta_onset_50ms_mean,current_offset_50ms_mean,previous_offset_50ms_mean,delta_offset_50ms_mean
MC_OFF,AC_off,logit,Mach,Mach_x+10,response_minus_blank,-0.25242379307746887,-0.2704448625445366,0.01802106946706772,-0.3886096924543381,-0.4068145453929901,0.01820485293865204,0.3886096924543381,0.4068145453929901,-0.01820485293865204,104.99999237060547,78.33332061767578,26.666671752929688,-0.038483814398447676,-0.03941501220067342,0.0009311978022257458,-0.1473335213959217,-0.1646416001021862,0.017308078706264496,-0.2400411032140255,-0.23276592791080475,-0.007275175303220749
MC_OFF,AC_off,logit,Mach,Mach_x+10,clamp_minus_normal,-0.12826968170702457,-0.15209708735346794,0.023827405646443367,-0.31123682856559753,-0.32961180806159973,0.018374979496002197,0.31123682856559753,0.32961180806159973,-0.018374979496002197,126.66665649414062,118.33332824707031,8.333328247070312,-0.0312229323387146,-0.03280646642049154,0.001583534081776937,-0.021848782896995544,-0.042074717581272125,0.02022593468427658,-0.28775448724627495,-0.2869945839047432,-0.0007599033415317535
MC_OFF,AC_off,logit,Mach,Mach_x+11,response_minus_blank,-0.2524225264787674,-0.2704418934881687,0.01801936700940132,-0.38860614597797394,-0.4068088233470917,0.018202677369117737,0.38860614597797394,0.4068088233470917,-0.018202677369117737,104.99999237060547,78.33332061767578,26.666671752929688,-0.03848343292872111,-0.03941417694091797,0.0009307440121968588,-0.14733338356018066,-0.16464129835367203,0.017307914793491364,-0.24003754556179047,-0.23275809362530708,-0.007279451936483383
MC_OFF,AC_off,logit,Mach,Mach_x+11,clamp_minus_normal,-0.12826799042522907,-0.15209298580884933,0.023824995383620262,-0.3112262785434723,-0.32959097623825073,0.018364697694778442,0.3112262785434723,0.32959097623825073,-0.018364697694778442,126.66665649414062,118.33332824707031,8.333328247070312,-0.03122178316116333,-0.032804143428802494,0.0015823602676391657,-0.021848782896995544,-0.04207466170191765,0.020225878804922104,-0.2877443805336952,-0.28697384148836136,-0.0007705390453338623
MC_OFF,AC_off,logit,Mach,Mach_x+12,response_minus_blank,-0.2524225264787674,-0.2704418934881687,0.01801936700940132,-0.38860614597797394,-0.4068088233470917,0.018202677369117737,0.38860614597797394,0.4068088233470917,-0.018202677369117737,104.99999237060547,78.33332061767578,26.666671752929688,-0.03848343292872111,-0.03941417694091797,0.0009307440121968588,-0.14733338356018066,-0.16464129835367203,0.017307914793491364,-0.24003754556179047,-0.23275809362530708,-0.007279451936483383
MC_OFF,AC_off,logit,Mach,Mach_x+12,clamp_minus_normal,-0.12826781906187534,-0.1520925611257553,0.023824742063879967,-0.31122517585754395,-0.3295889049768448,0.018363729119300842,0.31122517585754395,0.3295889049768448,-0.018363729119300842,126.66665649414062,118.33332824707031,8.333328247070312,-0.031221667925516765,-0.03280391136805217,0.0015822434425354047,-0.021848782896995544,-0.04207465052604675,0.02022586762905121,-0.28774333000183105,-0.2869717851281166,-0.000771544873714447
MC_OFF,AC_off,logit,Mach,Mach_uniform_x-12,response_minus_blank,0.2524225190281868,0.2704419009387493,-0.018019381910562515,0.38860614597797394,0.40680886805057526,-0.01820272207260132,0.38860614597797394,0.40680886805057526,-0.01820272207260132,104.99999237060547,78.33332061767578,26.666671752929688,0.03848343133926392,0.03941417853037516,-0.0009307471911112405,0.14733338356018066,0.16464129462838173,-0.017307911068201065,0.24003754183650017,0.23275810107588768,0.007279440760612488
MC_OFF,AC_off,logit,Mach,Mach_uniform_x-12,clamp_minus_normal,0.1282678134739399,0.1520925648510456,-0.023824751377105713,0.31122517585754395,0.3295889049768448,-0.018363729119300842,0.31122517585754395,0.3295889049768448,-0.018363729119300842,126.66665649414062,118.33332824707031,8.333328247070312,0.03122166633605957,0.032803912162780766,-0.0015822458267211945,0.021848784759640694,0.04207465425133705,-0.020225869491696358,0.28774333000183105,0.2869717851281166,0.000771544873714447
MC_OFF,AC_off,logit,Mach,Mach_uniform_x-11,response_minus_blank,0.2524225190281868,0.2704419009387493,-0.018019381910562515,0.38860614597797394,0.40680886805057526,-0.01820272207260132,0.38860614597797394,0.40680886805057526,-0.01820272207260132,104.99999237060547,78.33332061767578,26.666671752929688,0.03848343133926392,0.03941417853037516,-0.0009307471911112405,0.14733338356018066,0.16464129462838173,-0.017307911068201065,0.24003754183650017,0.23275810107588768,0.007279440760612488
MC_OFF,AC_off,logit,Mach,Mach_uniform_x-11,clamp_minus_normal,0.1282678134739399,0.1520925648510456,-0.023824751377105713,0.31122517585754395,0.3295889049768448,-0.018363729119300842,0.31122517585754395,0.3295889049768448,-0.018363729119300842,126.66665649414062,118.33332824707031,8.333328247070312,0.03122166633605957,0.032803912162780766,-0.0015822458267211945,0.021848784759640694,0.04207465425133705,-0.020225869491696358,0.28774333000183105,0.2869717851281166,0.000771544873714447
MC_OFF,AC_off,logit,Mach,Mach_uniform_x-10,response_minus_blank,0.2524225190281868,0.2704419009387493,-0.018019381910562515,0.38860614597797394,0.40680886805057526,-0.01820272207260132,0.38860614597797394,0.40680886805057526,-0.01820272207260132,104.99999237060547,78.33332061767578,26.666671752929688,0.03848343133926392,0.03941417853037516,-0.0009307471911112405,0.14733338356018066,0.16464129462838173,-0.017307911068201065,0.24003754183650017,0.23275810107588768,0.007279440760612488
MC_OFF,AC_off,logit,Mach,Mach_uniform_x-10,clamp_minus_normal,0.1282678134739399,0.1520925648510456,-0.023824751377105713,0.31122517585754395,0.3295889049768448,-0.018363729119300842,0.31122517585754395,0.3295889049768448,-0.018363729119300842,126.66665649414062,118.33332824707031,8.333328247070312,0.03122166633605957,0.032803912162780766,-0.0015822458267211945,0.021848784759640694,0.04207465425133705,-0.020225869491696358,0.28774333000183105,0.2869717851281166,0.000771544873714447
