combination_id,69#4,67#6,68#4,67#4,Mach dark_normal,Mach dark_AC_off,Mach dark_reversed,Mach bright_normal,Mach bright_AC_off,Mach bright_reversed,SBC_normal,SBC_AC_off,SBC_reversed,Hermann_normal,Hermann_AC_off,Hermann_reversed,White_normal,White_AC_off,White_reversed
C49,fresh_1,fresh_2,fresh_1,primary,-0.0035342836018764615,0.0027488524263555355,True,0.0035342864917986324,-0.0027488495364333646,True,-0.03843434705878749,0.003094966122598359,True,-0.019675374392307165,0.0010664051229303533,True,0.019209890112732397,-0.001561621463660038,True
C50,fresh_1,fresh_2,fresh_1,fresh_1,-0.003534917036692302,0.002725422562974872,True,0.0035349195653742015,-0.002725419131192294,True,-0.038228583697116736,0.003092710177103678,True,-0.01957270773974332,0.0010656118392944336,True,0.019107000213680846,-0.001560465856031938,True
C51,fresh_1,fresh_2,fresh_1,fresh_2,-0.0036121021617542617,0.002755248365980206,True,0.0036121043291958894,-0.0027552452954378993,True,-0.03899970217184587,0.0030665144775853014,True,-0.019955389427416252,0.0010565147255406236,True,0.019493158838965675,-0.001547140424901789,True
C52,fresh_1,fresh_2,fresh_2,primary,-0.003544278397704616,0.0027661117640408604,True,0.003544281648867058,-0.0027661088741186895,True,-0.03872247591163173,0.0031021490241542006,True,-0.019817277518185704,0.001068914659095533,True,0.019353673855463664,-0.0015652815500895182,True
C53,fresh_1,fresh_2,fresh_2,fresh_1,-0.003544911832520456,0.002742681900660197,True,0.003544914722442627,-0.0027426784688776187,True,-0.038516712549960974,0.00309989307865952,True,-0.019714610865621856,0.0010681213754596133,True,0.019250783956412113,-0.0015641259424614183,True
C54,fresh_1,fresh_2,fresh_2,fresh_2,-0.003622096957582416,0.002772507703665531,True,0.0036220994862643154,-0.0027725046331232243,True,-0.039287831024690106,0.0030736973791411428,True,-0.020097292553294788,0.001059024261705803,True,0.019636942581696945,-0.0015508005113312692,True
C55,fresh_2,primary,primary,primary,-0.003716949621836344,0.002663506161082875,True,0.0037169530536189225,-0.0026635029099204327,True,-0.03876687812082696,0.0030507770451632414,True,-0.01984391537579623,0.0010511530168128736,True,0.01937752871802359,-0.0015395504055601176,True
C56,fresh_2,primary,primary,fresh_1,-0.0037175830566521847,0.0026400762977022113,True,0.003717586127194491,-0.002640072504679362,True,-0.0385611147591562,0.0030485210996685605,True,-0.019741248723232383,0.0010503597331769537,True,0.01927463881897204,-0.0015383947979320178,True
C57,fresh_2,primary,primary,fresh_2,-0.0037947681817141446,0.002669902100707545,True,0.00379477089101618,-0.0026698986689249675,True,-0.039332233233885336,0.0030223254001501836,True,-0.02012393041090532,0.0010412626194231437,True,0.019660797444256868,-0.0015250693668018686,True
C58,fresh_2,primary,fresh_1,primary,-0.0036619413982738147,0.00266605687863899,True,0.0036619448300563924,-0.002666053627476548,True,-0.03879359400633609,0.0030498378204576893,True,-0.019856361186865602,0.0010508304292505437,True,0.019390980583248715,-0.0015390786257657137,True
C59,fresh_2,primary,fresh_1,fresh_1,-0.003662574833089655,0.002642627015258327,True,0.0036625779036319616,-0.002642623222235477,True,-0.03858783064466534,0.0030475818749630093,True,-0.019753694534301758,0.0010500371456146238,True,0.019288090684197165,-0.0015379230181376139,True
C60,fresh_2,primary,fresh_1,fresh_2,-0.0037397599581516154,0.002672452818263661,True,0.0037397626674536503,-0.002672449386481083,True,-0.03935894911939448,0.003021386175444632,True,-0.02013637622197469,0.0010409400318608139,True,0.019674249309481997,-0.0015245975870074647,True
C61,fresh_2,primary,fresh_2,primary,-0.0036719361941019695,0.0026833162163243146,True,0.0036719399871248184,-0.0026833129651618725,True,-0.03908172285918033,0.0030570207220135316,True,-0.019998264312744138,0.0010533399654157232,True,0.019534764325979986,-0.0015427387121951942,True
C62,fresh_2,primary,fresh_2,fresh_1,-0.00367256962891781,0.0026598863529436515,True,0.0036725730607003876,-0.0026598825599208026,True,-0.03887595949750958,0.0030547647765188507,True,-0.019895597660180293,0.0010525466817798035,True,0.019431874426928435,-0.0015415831045670944,True
C63,fresh_2,primary,fresh_2,fresh_2,-0.00374975475397977,0.002689712155948986,True,0.0037497578245220763,-0.002689708724166408,True,-0.039647077972238716,0.0030285690770004733,True,-0.020278279347853225,0.0010434495680259935,True,0.019818033052213264,-0.0015282576734369452,True
C64,fresh_2,fresh_1,primary,primary,-0.003677521149317423,0.002560342983766036,True,0.003677524400479866,-0.0025603399132237293,True,-0.03812898198763529,0.002545607089996338,True,-0.019474080475893888,0.00087896314534274,True,0.019063746026068026,-0.0012875535271384497,True
C65,fresh_2,fresh_1,primary,fresh_1,-0.0036781545841332638,0.0025369131203853723,True,0.0036781574740554347,-0.002536909507982659,True,-0.03792321862596454,0.002543351144501657,True,-0.019371413823330044,0.0008781698617068203,True,0.018960856127016472,-0.00128639791951035,True
C66,fresh_2,fresh_1,primary,fresh_2,-0.0037553397091952237,0.002566738923390706,True,0.003755342237877123,-0.002566735672228264,True,-0.03869433710069367,0.00251715544498328,True,-0.019754095511002975,0.0008690727479530102,True,0.019347014752301304,-0.0012730724883802007,True
C67,fresh_2,fresh_1,fresh_1,primary,-0.003622512925754894,0.002562893701322151,True,0.003622516176917336,-0.0025628906307798445,True,-0.03815569787314444,0.002544667865290786,True,-0.01948652628696326,0.0008786405577804103,True,0.01907719789129315,-0.0012870817473440458,True
C68,fresh_2,fresh_1,fresh_1,fresh_1,-0.003623146360570734,0.0025394638379414875,True,0.003623149250492905,-0.002539460225538774,True,-0.03794993451147369,0.0025424119197961057,True,-0.01938385963439941,0.0008778472741444905,True,0.0189743079922416,-0.001285926139715946,True
C69,fresh_2,fresh_1,fresh_1,fresh_2,-0.0037003314856326945,0.002569289640946822,True,0.0037003340143145938,-0.0025692863897843793,True,-0.03872105298620282,0.0025162162202777283,True,-0.019766541322072347,0.0008687501603906804,True,0.01936046661752643,-0.0012726007085857968,True
C70,fresh_2,fresh_1,fresh_2,primary,-0.0036325077215830486,0.0025801530390074756,True,0.003632511333985762,-0.0025801499684651695,True,-0.03844382672598868,0.002551850766846628,True,-0.019628429412841795,0.0008811500939455898,True,0.019220981634024418,-0.0012907418337735261,True
C71,fresh_2,fresh_1,fresh_2,fresh_1,-0.003633141156398889,0.0025567231756268125,True,0.003633144407561331,-0.002556719563224099,True,-0.038238063364317926,0.002549594821351947,True,-0.01952576276027795,0.0008803568103096702,True,0.019118091734972868,-0.0012895862261454263,True
C72,fresh_2,fresh_1,fresh_2,fresh_2,-0.003710326281460849,0.002586548978632147,True,0.00371032917138302,-0.0025865457274697047,True,-0.03900918183904706,0.00252339912183357,True,-0.019908444447950882,0.0008712596965558601,True,0.0195042503602577,-0.0012762607950152771,True
C73,fresh_2,fresh_2,primary,primary,-0.003667348623275757,0.0027514959826613916,True,0.003667351874438199,-0.0027514927314989494,True,-0.039065376736901025,0.0030705932414892946,True,-0.019992128285494716,0.0010581105044393828,True,0.019526307691227304,-0.0015494664510091146,True
C74,fresh_2,fresh_2,primary,fresh_1,-0.0036679820580915973,0.0027280661192807284,True,0.003667984948013768,-0.002728062326257879,True,-0.03885961337523027,0.0030683372959946138,True,-0.01988946163293087,0.0010573172208034629,True,0.019423417792175754,-0.0015483108433810148,True
C75,fresh_2,fresh_2,primary,fresh_2,-0.003745167183153557,0.0027578919222860624,True,0.0037451697118354565,-0.0027578884905034846,True,-0.039630731849959404,0.0030421415964762373,True,-0.020272143320603803,0.0010482201070496529,True,0.019809576417460586,-0.0015349854122508654,True
C76,fresh_2,fresh_2,fresh_1,primary,-0.0036123403997132277,0.002754046700217507,True,0.00361234365087567,-0.0027540434490550647,True,-0.03909209262241017,0.003069654016783743,True,-0.02000457409656409,0.001057787916877053,True,0.019539759556452433,-0.0015489946712147105,True
C77,fresh_2,fresh_2,fresh_1,fresh_1,-0.0036129738345290676,0.0027306168368368437,True,0.0036129767244512385,-0.0027306130438139943,True,-0.03888632926073941,0.0030673980712890626,True,-0.019901907444000246,0.0010569946332411333,True,0.019436869657400883,-0.0015478390635866107,True
C78,fresh_2,fresh_2,fresh_1,fresh_2,-0.0036901589595910275,0.002760442639842178,True,0.003690161488272927,-0.0027604392080596003,True,-0.039657447735468546,0.003041202371770685,True,-0.020284589131673178,0.001047897519487323,True,0.019823028282685715,-0.0015345136324564615,True
C79,fresh_2,fresh_2,fresh_2,primary,-0.003622335195541382,0.0027713060379028318,True,0.003622338807944096,-0.0027713027867403896,True,-0.039380221475254405,0.003076836918339585,True,-0.020146477222442626,0.0010602974530422324,True,0.0196835432991837,-0.001552654757644191,True
C80,fresh_2,fresh_2,fresh_2,fresh_1,-0.003622968630357222,0.0027478761745221686,True,0.003622971881519664,-0.0027478723814993197,True,-0.03917445811358365,0.003074580972844904,True,-0.020043810569878782,0.0010595041694063127,True,0.01958065340013215,-0.0015514991500160911,True
C81,fresh_2,fresh_2,fresh_2,fresh_2,-0.003700153755419182,0.002777701977527503,True,0.003700156645341353,-0.002777698545744925,True,-0.039945576588312784,0.003048385273326527,True,-0.020426492257551714,0.0010504070556525027,True,0.01996681202541698,-0.001538173718885942,True
