cell_id,group,condition,mode,offset_ms,peak_response_probability,peak_response_logit,peak_latency_ms_probability,peak_latency_ms_logit,response_integral_probability_s,response_integral_logit_s,integral_change_vs_center_only,integral_fraction_vs_center_only,peak_change_vs_center_only,peak_fraction_vs_center_only,center_onset_response,center_offset_response,surround_onset_response,surround_offset_response
69#7,MC_ON,surround_only,H1_off,,-0.09680911898612976,-0.6404720544815063,413.33333333333337,413.33333333333337,-0.010880490764975548,-0.06824073195457458,-0.02173286397010088,-2.0025909134636963,-0.2080530971288681,-1.8702414333107806,,,-0.016342774033546448,-0.08654260635375977
69#7,MC_ON,surround_then_center_100ms,H1_off,-100.0,0.09752736985683441,-0.6197242736816406,406.6666666666667,300.0,-0.000944627623539418,-0.013843854889273643,-0.01179700082866475,-1.0870434148996362,-0.01371660828590393,-0.12330202960113493,-0.05894359201192856,0.06556140631437302,-0.01634278893470764,-0.05894359201192856
69#7,MC_ON,surround_then_center_50ms,H1_off,-50.0,-0.05815848708152771,-0.35315001010894775,306.6666666666667,306.6666666666667,-0.0021364428102970123,-0.013866599649190903,-0.012988816015422344,-1.1968641116477656,-0.16940246522426605,-1.522801216322055,-0.049098044633865356,0.029893510043621063,-0.01535840518772602,-0.016931040212512016
69#7,MC_ON,center_surround_simultaneous,H1_off,0.0,-0.04613259434700012,-0.2738053798675537,433.33333333333337,433.33333333333337,-0.002324867993593216,-0.013869959861040115,-0.013177241198718548,-1.214226690296205,-0.15737657248973846,-1.4146974525471112,0.01760721020400524,-0.035049594938755035,0.01760721020400524,-0.035049594938755035
69#7,MC_ON,center_then_surround_50ms,H1_off,50.0,0.08689714968204498,-0.5404249429702759,366.6666666666667,466.6666666666667,-0.0012063985923305154,-0.013809665106236935,-0.012058771797455847,-1.1111644955004645,-0.02434682846069336,-0.21885974294674793,0.03676537424325943,-0.019347475841641426,0.07619301229715347,-0.07799283415079117
69#7,MC_ON,center_then_surround_100ms,H1_off,100.0,0.11124397814273834,-0.6416064500808716,400.0,513.3333333333334,-0.00027544389013201,-0.013782988302409649,-0.011127817095257342,-1.025380982106469,0.0,0.0,0.03676537424325943,0.053023792803287506,0.053023792803287506,-0.0866016298532486
69#7,MC_ON,center_only,AC_off,,0.11056379973888397,0.5377951264381409,400.0,400.0,0.010767614468932152,0.05402427166700363,0.0,0.0,0.0,0.0,0.03670017421245575,0.07063975185155869,,
69#7,MC_ON,surround_only,AC_off,,-0.0006056427955627441,-0.003337860107421875,420.0,420.0,-7.270505011547357e-05,-0.0004005909140687436,-0.010840319519047625,-1.0067521966286266,-0.11116944253444672,-1.0054777675603865,,,-5.480460822582245e-05,-0.0005644187331199646
69#7,MC_ON,surround_then_center_100ms,AC_off,-100.0,0.11033524572849274,0.5367889404296875,400.0,400.0,0.010687818750739098,0.05362487956881523,-7.97957181930542e-05,-0.0074107146409531244,-0.00022855401039123535,-0.002067168557258399,0.03608379513025284,0.07051737606525421,-5.480460822582245e-05,0.03608379513025284
69#7,MC_ON,surround_then_center_50ms,AC_off,-50.0,0.10997052490711212,0.5351828336715698,400.0,400.0,0.010683614760637283,0.05362576246261597,-8.399970829486847e-05,-0.007801143747970659,-0.0005932748317718506,-0.0053659048727791045,0.03628835082054138,0.07024732977151871,-4.9850768846226856e-05,0.09432137757539749
69#7,MC_ON,center_surround_simultaneous,AC_off,0.0,0.10990099608898163,0.5348766446113586,400.0,400.0,0.010685021989047527,0.05362563580274582,-8.259247988462448e-05,-0.00767045292371202,-0.0006628036499023438,-0.005994761861184874,0.0366365909576416,0.06998205184936523,0.0366365909576416,0.06998205184936523
69#7,MC_ON,center_then_surround_50ms,AC_off,50.0,0.11030827462673187,0.5366702675819397,400.0,400.0,0.010690499097108841,0.053624797612428665,-7.711537182331085e-05,-0.0071617879750256845,-0.0002555251121520996,-0.0023111100808362907,0.03670017421245575,0.07021365314722061,0.09495443850755692,0.013003066182136536
69#7,MC_ON,center_then_surround_100ms,AC_off,100.0,0.11056379973888397,0.5377951264381409,400.0,400.0,0.010694124735891819,0.05362410470843315,-7.34897330403328e-05,-0.006825070980426822,0.0,0.0,0.03670017421245575,0.07057926058769226,0.07057926058769226,-0.000753035768866539
69#21,PC_OFF,center_only,normal,,0.13238340616226196,0.6308233141899109,400.0,400.0,0.01290688943117857,0.06378007680177689,0.0,0.0,0.0,0.0,0.02975013293325901,0.09953822940587997,,
69#21,PC_OFF,surround_only,normal,,-0.07902751863002777,-0.4985690116882324,413.33333333333337,413.33333333333337,-0.008939981460571289,-0.05408434197306633,-0.02184687089174986,-1.6926518979061984,-0.21141092479228973,-1.596959399376414,,,-0.012774091213941574,-0.07090682536363602
69#21,PC_OFF,surround_then_center_100ms,normal,-100.0,0.12110549211502075,0.5822526216506958,406.6666666666667,406.6666666666667,0.003248040098696947,0.009692862629890442,-0.009658849332481623,-0.7483483440362626,-0.011277914047241211,-0.08519129681115702,-0.04699104279279709,0.09342045336961746,-0.012774107977747917,-0.04699104279279709
69#21,PC_OFF,surround_then_center_50ms,normal,-50.0,0.07371300458908081,0.3699660301208496,406.6666666666667,406.6666666666667,0.0022292518988251686,0.009732259437441826,-0.010677637532353401,-0.8272820178159992,-0.05867040157318115,-0.443185466169899,-0.03618661314249039,0.06130879744887352,-0.01204700954258442,0.011547227390110493
69#21,PC_OFF,center_surround_simultaneous,normal,0.0,0.02907809615135193,0.15342390537261963,400.0,400.0,0.0018672149162739515,0.009756883606314659,-0.011039674514904618,-0.8553319197293651,-0.10330531001091003,-0.7803493882329104,0.015124676749110222,0.008500903844833374,0.015124676749110222,0.008500903844833374
69#21,PC_OFF,center_then_surround_50ms,normal,50.0,0.09403198957443237,0.4627969264984131,373.33333333333337,373.33333333333337,0.002723210258409381,0.009740163572132587,-0.010183679172769189,-0.7890111112417955,-0.03835141658782959,-0.2896995756463795,0.02975013293325901,0.024786412715911865,0.08837712556123734,-0.052271392196416855
69#21,PC_OFF,center_then_surround_100ms,normal,100.0,0.13238340616226196,0.6308233141899109,400.0,400.0,0.003648649901151657,0.009730449877679348,-0.009258239530026913,-0.7173098971206971,0.0,0.0,0.02975013293325901,0.08442044258117676,0.08442044258117676,-0.07092821598052979
69#21,PC_OFF,center_only,H1_off,,0.1325872242450714,0.6316953301429749,400.0,400.0,0.012926819734275341,0.06387003511190414,0.0,0.0,0.0,0.0,0.029782980680465698,0.09971299767494202,,
69#21,PC_OFF,surround_only,H1_off,,-0.07877065241336823,-0.49666714668273926,413.33333333333337,413.33333333333337,-0.008913799189031124,-0.053903695195913315,-0.021840618923306465,-1.6895585590473015,-0.21135787665843964,-1.594104393254136,,,-0.012713072821497917,-0.07068459689617157
69#21,PC_OFF,surround_then_center_100ms,H1_off,-100.0,0.12129506468772888,0.5830743312835693,406.6666666666667,406.6666666666667,0.0032950860913842916,0.009963934309780598,-0.00963173364289105,-0.7450969256848688,-0.01129215955734253,-0.08516778009071478,-0.04672161489725113,0.09356626868247986,-0.012713097035884857,-0.04672161489725113
69#21,PC_OFF,surround_then_center_50ms,H1_off,-50.0,0.0740753710269928,0.371648907661438,406.6666666666667,406.6666666666667,0.002279505366459489,0.010003971867263317,-0.010647314367815852,-0.8236607755567751,-0.05851185321807861,-0.4413083805867038,-0.03592435643076897,0.06157046929001808,-0.011988000944256783,0.01197744905948639
69#21,PC_OFF,center_surround_simultaneous,H1_off,0.0,0.029616743326187134,0.15616166591644287,400.0,400.0,0.0019190161256119609,0.010028841905295849,-0.01100780360866338,-0.8515476996616803,-0.10297048091888428,-0.7766244561282604,0.01522570475935936,0.008948979899287224,0.01522570475935936,0.008948979899287224
69#21,PC_OFF,center_then_surround_50ms,H1_off,50.0,0.09424474835395813,0.46375346183776855,373.33333333333337,373.33333333333337,0.0027727659326046705,0.010011342354118824,-0.01015405380167067,-0.7855028545611488,-0.03834247589111328,-0.28918680596436547,0.029782980680465698,0.025214262306690216,0.08860106021165848,-0.05198296532034874
