cell_id,group,pathway,zero_norm,aligned_norm,delta_norm,relative_l2,cosine,zero_energy_x_degree,zero_energy_y_degree,aligned_energy_x_degree,aligned_energy_y_degree,centroid_shift_degree
70#7,PC_ON,H1,0.0016500764502429925,0.0031133422328556903,0.0014632657826126978,0.9262719215987733,0.9810288318520219,-1.283789557776572e-09,4.548366768662521e-09,0.01780719159472259,0.01562893567147145,0.023693028642689053
70#7,PC_ON,direct_BC,0.2691597487412852,0.31641656489709497,0.04725681615580979,0.6764719431511776,0.8184760159146571,0.0,0.0,0.017549078073088864,0.012549241222027743,0.021574373605368215
70#7,PC_ON,AC,0.11946016564000433,0.11444345785588857,-0.0050167077841157676,0.2471982225701884,0.9690276223750997,0.0,-1.8993458695459318e-18,0.016699067120948353,0.004523884043630391,0.017300993311083385
70#15,PC_ON,global,0.17362288478228194,0.20138406903507722,0.02776118425279528,1.5586737861830486,-0.03625800732418468,-1.222855819076558e-16,6.939706773259467e-15,-0.10615001672457881,-0.09547486112752869,0.14277000790765038
70#15,PC_ON,H1,0.0003211524667591289,0.0009564694892942977,0.0006353170225351689,2.674655027706742,0.4559974582612844,-3.6536348965249454e-11,1.0255494701774359e-08,-0.10799142570762414,-0.092231231654686,0.1420167243769844
70#15,PC_ON,direct_BC,0.2365453146220596,0.2528060581054143,0.016260743483354684,1.4636293168110608,0.0,0.0,0.0,-0.10638933773531208,-0.09488419685463251,0.14255420722134773
70#15,PC_ON,AC,0.1066204739944744,0.10455766174065774,-0.0020628122538166593,1.2473662002190937,0.20688127829301473,0.0,-2.3843448281049905e-18,-0.10533932490964547,-0.09724860111747406,0.14336549023989503
70#34,MC_ON,global,0.1793455227456079,0.20382309782635458,0.02447757508074669,1.2048645099775068,0.36951488962929463,-1.3028318175789156e-11,1.3268606927314816e-11,-0.05023472151173574,0.07429727653212122,0.08968618924991487
70#34,MC_ON,H1,0.0015901729817927373,0.004896038816597524,0.0033058658348047868,2.2631538280722556,0.8701018828773932,-8.147693834047038e-10,6.844548941668251e-09,-0.05020824699860569,0.0740916104925013,0.08950102634038327
70#34,MC_ON,direct_BC,0.1920256131908896,0.21211743336672156,0.02009182017583197,1.136909308849587,0.41988989343827215,0.0,0.0,-0.049702218708465945,0.07367297374214672,0.088870791627819
70#34,MC_ON,AC,0.12033596207877596,0.13070351154751197,0.010367549468736012,0.8609873105269317,0.662167723734193,-9.358999352425745e-19,3.743599740970298e-18,-0.050992765570128565,0.07517406724937613,0.09083723095352375
