split,cell_id,group,pathway,quintile,bins,mean_delta_loss,median_delta_loss,normal_nll,recalibrated_off_nll,event_rate,mean_C,mean_U,mean_R,mean_V,mean_LSC
consumed,68#3,MC_OFF,AC,3,4830,0.19425887448356788,0.08872853191238775,0.4950056756627498,0.6892645501463177,0.3022774327122153,0.28757562244078,0.6848450349236372,0.301558664967215,0.6622738530516414,0.37614812020247085
consumed,68#3,MC_OFF,AC,4,6419,0.16005427459169386,0.033666705809377306,0.44374932682982343,0.6038036014215172,0.2696681726125565,0.9329021141097613,1.1898465890666605,0.9520497734022201,1.1395959475920738,0.6087862863076177
consumed,68#3,MC_OFF,AC,5,6076,0.23598681656553125,-1.7161223204067886e-05,0.3972182075229051,0.6332050240884364,0.21593153390388414,2.5110925999753695,2.6086719961482254,2.387059817566441,2.415234040997461,1.3829275684891775
consumed,68#4,PC_ON,BC,1,7722,0.06922540069877692,0.05189776225900211,0.4946221544464896,0.5638475551452664,0.22623672623672625,-0.36540864478347823,0.6657372801989169,-0.3636847450698212,0.6638996194311253,0.09235890622267383
consumed,68#4,PC_ON,BC,2,5190,0.06760552919158046,0.018502288541109718,0.45623165533788806,0.5238371845294685,0.19845857418111754,0.09453681443308681,0.6656045016863744,0.09678396732413057,0.6605943731864352,0.2044348274157962
consumed,68#4,PC_ON,BC,3,5478,0.06623027174469859,0.014466356901299299,0.4432833311032899,0.5095136028479884,0.1827309236947791,0.2702284380230661,0.7223415513759496,0.2800791255888974,0.7029968786199451,0.3217937615904962
consumed,68#4,PC_ON,BC,4,4722,0.06820829373224684,-0.003927536139174265,0.42963240984799456,0.4978407035802413,0.17450232952138925,0.784340698144998,1.0939701361367835,0.807633275650894,1.0264956630839543,0.5479267654749621
consumed,68#4,PC_ON,BC,5,5688,0.09913456610730018,-0.010818927632483603,0.3876502764552662,0.4867848425625663,0.15734880450070324,2.4651852767815803,2.6297743595163494,2.3962304489560773,2.4317057494507175,1.342818099200689
consumed,68#4,PC_ON,AC,1,7722,0.37402526596888025,-0.13887339980713745,0.4946221544464896,0.86864742041537,0.22623672623672625,-0.36540864478347823,0.6657372801989169,-0.3636847450698212,0.6638996194311253,0.09235890622267383
consumed,68#4,PC_ON,AC,2,5190,0.30311078892960835,-0.11239260605994367,0.45623165533788806,0.7593424442674963,0.19845857418111754,0.09453681443308681,0.6656045016863744,0.09678396732413057,0.6605943731864352,0.2044348274157962
consumed,68#4,PC_ON,AC,3,5478,0.28551730057796404,-0.10603132440332072,0.4432833311032899,0.7288006316812539,0.1827309236947791,0.2702284380230661,0.7223415513759496,0.2800791255888974,0.7029968786199451,0.3217937615904962
consumed,68#4,PC_ON,AC,4,4722,0.3283219888089817,-0.0816927341986602,0.42963240984799456,0.7579543986569763,0.17450232952138925,0.784340698144998,1.0939701361367835,0.807633275650894,1.0264956630839543,0.5479267654749621
consumed,68#4,PC_ON,AC,5,5688,0.5016873286146966,0.04587718245431832,0.3876502764552662,0.8893376050699625,0.15734880450070324,2.4651852767815803,2.6297743595163494,2.3962304489560773,2.4317057494507175,1.342818099200689
consumed,68#7,PC_ON,BC,1,9870,0.3585342571511011,0.30877274195749105,0.30541430174043055,0.6639485588915316,0.13221884498480244,-0.34723526057230963,0.6509466153806375,-0.3451470969740871,0.6488613562121924,0.0943556427107005
consumed,68#7,PC_ON,BC,2,6104,0.3457467034436845,0.21601600088105866,0.3503317341933114,0.696078437636996,0.16136959370904325,0.11229298877126419,0.6695618684450959,0.1189804878784764,0.6592758975226513,0.2109310415340706
consumed,68#7,PC_ON,BC,3,5488,0.30188032894607125,0.19485676582881784,0.41483042965617273,0.716710758602244,0.20353498542274054,0.38063455746593106,0.800209393307007,0.3949292410891714,0.7738698388440239,0.3196542460055698
consumed,68#7,PC_ON,BC,4,4760,0.3936544536142067,0.1717086457174788,0.4560522973044096,0.8497067509186162,0.2392857142857143,0.7875727726060979,1.1321358666500172,0.8243310181744122,1.0680930349516082,0.5089113093364952
consumed,68#7,PC_ON,BC,5,7378,0.7123527929043147,0.13574097839476873,0.5051834380792947,1.2175362309836097,0.31919219300623475,2.2385066939897036,2.3769610444618063,2.1773861451462335,2.2276111967885113,1.2336594078401855
consumed,68#7,PC_ON,AC,1,9870,0.13153314797261564,-0.09401274985648213,0.30541430174043055,0.43694744971304617,0.13221884498480244,-0.34723526057230963,0.6509466153806375,-0.3451470969740871,0.6488613562121924,0.0943556427107005
consumed,68#7,PC_ON,AC,2,6104,0.16577766488200937,-0.09262863884305239,0.3503317341933114,0.5161093990753207,0.16136959370904325,0.11229298877126419,0.6695618684450959,0.1189804878784764,0.6592758975226513,0.2109310415340706
consumed,68#7,PC_ON,AC,3,5488,0.2034869989053829,-0.08814473183192643,0.41483042965617273,0.6183174285615557,0.20353498542274054,0.38063455746593106,0.800209393307007,0.3949292410891714,0.7738698388440239,0.3196542460055698
consumed,68#7,PC_ON,AC,4,4760,0.21310375005459237,-0.0860670762559604,0.4560522973044096,0.669156047359002,0.2392857142857143,0.7875727726060979,1.1321358666500172,0.8243310181744122,1.0680930349516082,0.5089113093364952
consumed,68#7,PC_ON,AC,5,7378,0.31404671782404103,-0.06033921537603494,0.5051834380792947,0.8192301559033357,0.31919219300623475,2.2385066939897036,2.3769610444618063,2.1773861451462335,2.2276111967885113,1.2336594078401855
consumed,68#10,MC_ON,BC,1,1336,0.3286635386790522,0.2687961718763434,0.2896271828667888,0.6182907215458411,0.1279940119760479,-0.3251037659538517,0.6214920893727766,-0.3244508065885543,0.6210541135207608,0.11181104534041823
consumed,68#10,MC_ON,BC,2,807,0.21614954985098375,0.1542500158202595,0.38387471495934755,0.6000242648103312,0.19578686493184635,0.08166359715616922,0.5819692145930331,0.08291961379221857,0.5794880920034373,0.22537510898275287
consumed,68#10,MC_ON,BC,3,740,0.19046594355966623,0.1168947701426017,0.37603481086517004,0.5665007544248363,0.19324324324324324,0.22388633776445158,0.6232857097273158,0.23660642201335488,0.6082030134525326,0.3206194071042514
consumed,68#10,MC_ON,BC,4,869,0.24489558026874067,0.1005438363152933,0.3921450470327631,0.6370406273015037,0.22094361334867663,0.6828800204177286,0.9471463621853367,0.6970087672863805,0.9061780987129988,0.5046067842328541
consumed,68#10,MC_ON,BC,5,1048,0.3588186407217745,0.02344019025184177,0.4564026590816838,0.8152212998034584,0.2929389312977099,1.996310048227459,2.1109525907373383,1.9649560926331924,2.0032630237811797,1.2619774122106078
consumed,68#10,MC_ON,AC,1,1336,0.12033583118492214,-0.10989057643005812,0.2896271828667888,0.409963014051711,0.1279940119760479,-0.3251037659538517,0.6214920893727766,-0.3244508065885543,0.6210541135207608,0.11181104534041823
consumed,68#10,MC_ON,AC,2,807,0.21932509427439792,-0.08121875791930784,0.38387471495934755,0.6031998092337455,0.19578686493184635,0.08166359715616922,0.5819692145930331,0.08291961379221857,0.5794880920034373,0.22537510898275287
consumed,68#10,MC_ON,AC,3,740,0.2829233374672123,-0.06830916075498059,0.37603481086517004,0.6589581483323824,0.19324324324324324,0.22388633776445158,0.6232857097273158,0.23660642201335488,0.6082030134525326,0.3206194071042514
consumed,68#10,MC_ON,AC,4,869,0.2960201713738046,-0.05819450799640648,0.3921450470327631,0.6881652184065676,0.22094361334867663,0.6828800204177286,0.9471463621853367,0.6970087672863805,0.9061780987129988,0.5046067842328541
consumed,68#10,MC_ON,AC,5,1048,0.5684326256574134,0.01975403352908162,0.4564026590816838,1.0248352847390974,0.2929389312977099,1.996310048227459,2.1109525907373383,1.9649560926331924,2.0032630237811797,1.2619774122106078
consumed,68#11,PC_OFF,BC,1,8603,0.3994908925023447,-0.04800626193615406,0.48885930728438143,0.8883501997867262,0.26851098454027666,-0.4062767893142786,0.6393048803637352,-0.4049698613101953,0.637587152104385,0.08562865834143345
consumed,68#11,PC_OFF,BC,2,6132,0.27010978786610074,-0.05395843626672875,0.44985568270421744,0.7199654705703182,0.2090671885192433,0.03169885851232553,0.6496796466986222,0.03704213898539805,0.6417618713139522,0.189941221231535
consumed,68#11,PC_OFF,BC,3,6272,0.20147308058488872,-0.031069245916033744,0.4076299617308035,0.6091030423156922,0.17777423469387754,0.31629167617912013,0.7577296839362272,0.3246568775333224,0.7328639344373901,0.3159076715949378
consumed,68#11,PC_OFF,BC,4,5985,0.20170771127770662,-0.003760265118197284,0.3960139857685361,0.5977216970462427,0.1622389306599833,0.842502202385167,1.1569272390099685,0.865353319792175,1.097848319011279,0.5443241352440874
consumed,68#11,PC_OFF,BC,5,6608,0.22857596705506336,0.0512920984386991,0.2629220290505832,0.49149799610564665,0.09200968523002422,2.486795374069397,2.6446225743236598,2.3579388770779133,2.3848984998693696,1.3385192420581031
consumed,68#11,PC_OFF,AC,1,8603,0.04262347632401805,-5.3310673051277215e-06,0.48885930728438143,0.5314827836083996,0.26851098454027666,-0.4062767893142786,0.6393048803637352,-0.4049698613101953,0.637587152104385,0.08562865834143345
consumed,68#11,PC_OFF,AC,2,6132,0.05286302727506437,-7.902776999252265e-06,0.44985568270421744,0.5027187099792818,0.2090671885192433,0.03169885851232553,0.6496796466986222,0.03704213898539805,0.6417618713139522,0.189941221231535
consumed,68#11,PC_OFF,AC,3,6272,0.0481133429709126,-2.7571338345514326e-05,0.4076299617308035,0.4557433047017161,0.17777423469387754,0.31629167617912013,0.7577296839362272,0.3246568775333224,0.7328639344373901,0.3159076715949378
consumed,68#11,PC_OFF,AC,4,5985,0.04394487381045474,-0.0003979392928138862,0.3960139857685361,0.43995885957899084,0.1622389306599833,0.842502202385167,1.1569272390099685,0.865353319792175,1.097848319011279,0.5443241352440874
consumed,68#11,PC_OFF,AC,5,6608,0.03067401092789039,-0.00036915798033182,0.2629220290505832,0.2935960399784736,0.09200968523002422,2.486795374069397,2.6446225743236598,2.3579388770779133,2.3848984998693696,1.3385192420581031
consumed,69#3,PC_OFF,BC,1,9373,0.2114555717737002,0.02987291131116454,0.5846956633237101,0.7961512350974103,0.37565347274085137,-0.36494344435835346,0.665568143307281,-0.3635841960652331,0.6635900144657945,0.0916783544103746
consumed,69#3,PC_OFF,BC,2,5852,0.1538994616158411,-0.012803236534845303,0.5532613938041203,0.7071608554199614,0.31698564593301437,0.08077603230231252,0.6595718741846278,0.08884898912375527,0.6522509284290432,0.21618478906947525
consumed,69#3,PC_OFF,BC,3,6342,0.1439812684174214,-0.007233289209183896,0.5511647371410408,0.6951460055584623,0.31015452538631344,0.35957452883042357,0.7859096339844702,0.37503906098239304,0.7665316541340872,0.32242860481191
consumed,69#3,PC_OFF,BC,4,5411,0.20242935049008992,0.05397982916154409,0.5130311772211845,0.7154605277112744,0.2886712252818333,0.9042467821228923,1.1953092330656214,0.9404090648543119,1.1539338474460317,0.5592085169003086
consumed,69#3,PC_OFF,BC,5,6622,0.2889943466639179,0.17311522491831105,0.45930557487033996,0.7482999215342578,0.26789489580187253,2.2603941721602094,2.4214231797081003,2.197445042408259,2.228520261480702,1.3619589355216188
consumed,69#3,PC_OFF,AC,1,9373,0.0518488319831358,0.040639557858077546,0.5846956633237101,0.636544495306846,0.37565347274085137,-0.36494344435835346,0.665568143307281,-0.3635841960652331,0.6635900144657945,0.0916783544103746
consumed,69#3,PC_OFF,AC,2,5852,0.05506744809352448,0.04775664279617636,0.5532613938041203,0.6083288418976448,0.31698564593301437,0.08077603230231252,0.6595718741846278,0.08884898912375527,0.6522509284290432,0.21618478906947525
consumed,69#3,PC_OFF,AC,3,6342,0.05805656301751127,0.043980730073787166,0.5511647371410408,0.609221300158552,0.31015452538631344,0.35957452883042357,0.7859096339844702,0.37503906098239304,0.7665316541340872,0.32242860481191
consumed,69#3,PC_OFF,AC,4,5411,0.0667555662880835,0.027900757094864836,0.5130311772211845,0.5797867435092681,0.2886712252818333,0.9042467821228923,1.1953092330656214,0.9404090648543119,1.1539338474460317,0.5592085169003086
consumed,69#3,PC_OFF,AC,5,6622,0.06320393036160313,6.6076414736299105e-06,0.45930557487033996,0.5225095052319432,0.26789489580187253,2.2603941721602094,2.4214231797081003,2.197445042408259,2.228520261480702,1.3619589355216188
