split,cell_id,group,pathway,matching_feature,stratum,low_bins,high_bins,overlap_mass,weight,E,Q1_U,Q5_U,Q1_LSC,Q5_LSC,Q1_C,Q5_C,Q1_R,Q5_R
consumed,67#33,MC_OFF,AC,U,2,1519,826,826,0.24634655532359082,-0.08523807880759258,0.3551096113244166,0.34957383216212706,0.12677129724316824,0.8640367262293672,-0.23329489410035142,0.026637113720012866,-0.23227960529721656,0.4139448274358409
consumed,67#33,MC_OFF,AC,U,3,973,399,399,0.11899791231732777,-0.00251547110630837,0.560218574757949,0.5378945388829156,0.11119196944075553,0.9969481867413271,-0.3673871548779363,0.052784508404836644,-0.3661518217781873,0.521898445645008
consumed,67#33,MC_OFF,AC,U,4,4949,798,798,0.23799582463465555,-0.08331710334132052,0.7614328076271935,0.7746802044956814,0.03475288698338927,1.069612160929714,-0.6963160539267894,0.42850746256442285,-0.6933782954900786,0.6708152319320984
consumed,67#33,MC_OFF,AC,U,5,371,4053,371,0.11064718162839249,0.08455574355679257,2.1395768228547105,3.969110810603112,0.704939939936295,1.638857287331621,2.1395768228547105,3.969110810603112,2.135195164455399,3.580834933410073
consumed,67#33,MC_OFF,AC,LSC,1,6223,0,0,0.0,,0.6857493015909025,,0.025777830890088605,,-0.6148954020947791,,-0.6125656472955974,
consumed,67#33,MC_OFF,AC,LSC,2,1687,0,0,0.0,,0.38867697433911624,,0.12549037150318865,,-0.16515856108135385,,-0.16437312914949423,
consumed,67#33,MC_OFF,AC,LSC,3,623,273,273,0.3333333333333333,-0.09920196706998553,0.2856877529429889,0.8457332278055568,0.25086510619774344,0.30561753442219675,0.04468550187825968,0.664499823042514,0.04655077271079447,0.5279282034619085
consumed,67#33,MC_OFF,AC,LSC,4,364,1771,364,0.4444444444444444,0.12678480948841558,0.8150035306882975,1.4196985863947278,0.49082290035773884,0.5268012550543906,0.703975960585432,1.202296273445452,0.7030361220572102,1.1602618206926252
consumed,67#33,MC_OFF,AC,LSC,5,182,4991,182,0.2222222222222222,-0.1624592976522154,2.2121204474309573,2.921568451281844,1.3659549350651456,1.6749947965809135,2.208011051247237,2.8428611141828632,2.2046758813944374,2.766134016508381
consumed,67#34,PC_ON,BC,U,1,861,700,700,0.2336448598130841,0.15531143599760336,0.09888350394080257,0.0905496227448748,0.14524880149313985,1.0681883965798873,-0.030988594339057856,-0.0065259092785709075,-0.03144213284574089,0.6466314273165024
consumed,67#34,PC_ON,BC,U,2,1456,868,868,0.2897196261682243,0.05183364138476143,0.3281872949990849,0.33641318947963056,0.1344887307760278,1.1410957784265572,-0.16009316723970046,0.027746430698654526,-0.1602132382930914,0.6678061680816633
consumed,67#34,PC_ON,BC,U,3,1120,371,371,0.12383177570093458,-0.04931646796139785,0.5516550571890548,0.5387646826555215,0.08954299737507904,0.9813282013677704,-0.44355373124126346,-0.06911203953578084,-0.4433322555680206,0.42425160011583096
consumed,67#34,PC_ON,BC,U,4,5236,791,791,0.26401869158878505,-0.10271850480388015,0.7657559424270515,0.8108155083620047,0.04102324129064398,1.1005399824503672,-0.6702479984401788,0.4363796028959672,-0.6677989727229441,0.7268128419439479
consumed,67#34,PC_ON,BC,U,5,266,3479,266,0.08878504672897196,0.05246676123391536,2.7144026456302717,4.17903567715623,0.7207469376594274,1.586069919599043,2.7144026456302717,4.17903567715623,2.709926193629048,3.6538687803004706
consumed,67#34,PC_ON,BC,LSC,1,6720,0,0,0.0,,0.675244214386468,,0.026511317058946802,,-0.6161945624720905,,-0.6143475070206997,
consumed,67#34,PC_ON,BC,LSC,2,1120,0,0,0.0,,0.36489358615995116,,0.12203423419002861,,-0.11242493088625452,,-0.11333492862238145,
consumed,67#34,PC_ON,BC,LSC,3,637,133,133,0.2235294117647059,-0.1341503543962436,0.6512667392150263,0.7645728994814961,0.23706605968610162,0.3038098319376829,0.3069945993413637,0.623866204625014,0.306080341656158,0.4342789371787653
consumed,67#34,PC_ON,BC,LSC,4,259,1442,259,0.43529411764705883,0.1428142105561553,0.799831812947633,1.4783075943151804,0.45083561355577717,0.5499745285663707,0.7073992477714971,1.2689465027764775,0.7105209419385146,1.1359181198905477
consumed,67#34,PC_ON,BC,LSC,5,203,4634,203,0.3411764705882353,-0.030472988553226332,1.694714242066578,2.913699940216286,1.2072288035017262,1.652410482207706,1.694714242066578,2.797825102110937,1.6932164255960895,2.7580191009442085
consumed,67#34,PC_ON,AC,U,1,861,700,700,0.2336448598130841,-0.07755859084585787,0.09888350394080257,0.0905496227448748,0.14524880149313985,1.0681883965798873,-0.030988594339057856,-0.0065259092785709075,-0.03144213284574089,0.6466314273165024
consumed,67#34,PC_ON,AC,U,2,1456,868,868,0.2897196261682243,-0.048878178651118674,0.3281872949990849,0.33641318947963056,0.1344887307760278,1.1410957784265572,-0.16009316723970046,0.027746430698654526,-0.1602132382930914,0.6678061680816633
consumed,67#34,PC_ON,AC,U,3,1120,371,371,0.12383177570093458,0.0378151022282817,0.5516550571890548,0.5387646826555215,0.08954299737507904,0.9813282013677704,-0.44355373124126346,-0.06911203953578084,-0.4433322555680206,0.42425160011583096
consumed,67#34,PC_ON,AC,U,4,5236,791,791,0.26401869158878505,0.10394619852043584,0.7657559424270515,0.8108155083620047,0.04102324129064398,1.1005399824503672,-0.6702479984401788,0.4363796028959672,-0.6677989727229441,0.7268128419439479
consumed,67#34,PC_ON,AC,U,5,266,3479,266,0.08878504672897196,0.28859086623391084,2.7144026456302717,4.17903567715623,0.7207469376594274,1.586069919599043,2.7144026456302717,4.17903567715623,2.709926193629048,3.6538687803004706
consumed,67#34,PC_ON,AC,LSC,1,6720,0,0,0.0,,0.675244214386468,,0.026511317058946802,,-0.6161945624720905,,-0.6143475070206997,
consumed,67#34,PC_ON,AC,LSC,2,1120,0,0,0.0,,0.36489358615995116,,0.12203423419002861,,-0.11242493088625452,,-0.11333492862238145,
consumed,67#34,PC_ON,AC,LSC,3,637,133,133,0.2235294117647059,-0.10965543475444821,0.6512667392150263,0.7645728994814961,0.23706605968610162,0.3038098319376829,0.3069945993413637,0.623866204625014,0.306080341656158,0.4342789371787653
consumed,67#34,PC_ON,AC,LSC,4,259,1442,259,0.43529411764705883,0.11846595768212645,0.799831812947633,1.4783075943151804,0.45083561355577717,0.5499745285663707,0.7073992477714971,1.2689465027764775,0.7105209419385146,1.1359181198905477
consumed,67#34,PC_ON,AC,LSC,5,203,4634,203,0.3411764705882353,0.2192228662494431,1.694714242066578,2.913699940216286,1.2072288035017262,1.652410482207706,1.694714242066578,2.797825102110937,1.6932164255960895,2.7580191009442085
consumed,68#3,MC_OFF,BC,U,1,1169,560,560,0.21390374331550802,0.3038760156489001,0.10336681312301715,0.1001505819257242,0.18876537803874438,0.8461150473776049,-0.040100476045272206,0.0032061606370310364,-0.03951260660060642,0.4735145065965928
