group,probe,mode,channel,n_cells,peak_response,peak_absolute_response,peak_latency_ms_from_trial_start,peak_latency_ms_from_onset,response_integral_seconds,peak_change_vs_center_only,integral_change_vs_center_only,center_onset_50ms,center_offset_50ms,surround_first_onset_50ms,surround_first_offset_50ms,off_minus_normal_mean_abs_active,off_minus_normal_peak_signed,off_minus_normal_peak_absolute,off_minus_normal_integral_seconds
MC_OFF,slow_1Hz,AC_off,logit,4,0.42440812289714813,0.42440812289714813,978.3333333333334,678.3333333333334,0.8288914561271667,0.0077336132526397705,5.960464477539062e-07,0.14807609096169472,0.2761055901646614,0.14807609096169472,0.40519195795059204,0.17579373344779015,0.33075378835201263,0.33075378835201263,0.3530094623565674
MC_OFF,slow_2Hz,AC_off,logit,4,0.42443712055683136,0.42443712055683136,720.0,420.0,0.8288918882608414,0.007762610912322998,1.0281801223754883e-06,0.14807609096169472,0.27612002938985825,0.14807609096169472,0.40519268810749054,0.17575550079345703,0.33075378835201263,0.33075378835201263,0.3529117703437805
MC_OFF,rapid_10Hz,AC_off,logit,4,0.4220832735300064,0.4220832735300064,433.33333333333337,133.33333333333337,0.8288918733596802,0.005408763885498047,1.0132789611816406e-06,0.14807609096169472,0.2700347229838371,0.14807609096169472,0.38672488182783127,0.17364463955163956,0.28794024884700775,0.28794024884700775,0.35260166972875595
MC_OFF,rapid_20Hz,AC_off,logit,4,0.41825060546398163,0.41825060546398163,436.6666666666667,136.66666666666669,0.8288914263248444,0.0015760958194732666,5.662441253662109e-07,0.14807609468698502,0.2669668532907963,0.14807609468698502,0.3285362273454666,0.17169885709881783,0.21821917593479156,0.21821917593479156,0.35257989913225174
MC_OFF,transient_50ms,AC_off,logit,4,0.42236657440662384,0.42236657440662384,1385.0,1085.0,0.8288902193307877,0.0056920647621154785,-6.407499313354492e-07,0.14807609096169472,0.2664988525211811,0.14807609096169472,0.38645731657743454,0.17090176418423653,0.2884482890367508,0.2884482890367508,0.35259461402893066
MC_OFF,large_field_50ms,AC_off,logit,4,0.36481060087680817,0.36481060087680817,360.0,60.0,-7.947285884934985e-10,-0.01546621322631836,2.980232727267662e-10,0.14733359590172768,0.22903471812605858,0.14733359590172768,0.22903471812605858,0.015687362756580114,0.27516716718673706,0.27516716718673706,-5.960464621868056e-10
MC_OFF,slow_step,AC_off,probability,4,0.0796845443546772,0.0796845443546772,1478.3333333333335,1178.3333333333335,0.15517259389162064,0.0015780702233314514,-1.6130506992340088e-06,0.026642759330570698,0.051130155101418495,0.026642759330570698,0.07576039340347052,0.033956235740333796,0.06364462897181511,0.06364462897181511,0.06817305460572243
MC_OFF,slow_1Hz,AC_off,probability,4,0.07968480512499809,0.07968480512499809,978.3333333333334,678.3333333333334,0.1551721803843975,0.0015783309936523438,-2.0265579223632812e-06,0.026642759330570698,0.05113028734922409,0.026642759330570698,0.07576221972703934,0.03399996645748615,0.06364462897181511,0.06364462897181511,0.0682603307068348
MC_OFF,slow_2Hz,AC_off,probability,4,0.07969070225954056,0.07969070225954056,720.0,420.0,0.15517129004001617,0.001584228128194809,-2.9169023036956787e-06,0.026642759330570698,0.051133111119270325,0.026642759330570698,0.07576301973313093,0.03409226192161441,0.06364462897181511,0.06364462897181511,0.06844101753085852
MC_OFF,rapid_10Hz,AC_off,probability,4,0.07920198515057564,0.07920198515057564,433.33333333333337,133.33333333333337,0.15516818687319756,0.001095511019229889,-6.020069122314453e-06,0.026642759330570698,0.04991823062300682,0.026642759330570698,0.0718479622155428,0.03434717748314142,0.05589508265256882,0.05589508265256882,0.06971737556159496
MC_OFF,rapid_20Hz,AC_off,probability,4,0.07842222601175308,0.07842222601175308,436.6666666666667,136.66666666666669,0.15517058968544006,0.0003157518804073334,-3.6172568798065186e-06,0.026642760261893272,0.049344222992658615,0.026642760261893272,0.06021190248429775,0.03422912396490574,0.04307214543223381,0.04307214543223381,0.07018854655325413
MC_OFF,transient_50ms,AC_off,probability,4,0.07926085591316223,0.07926085591316223,1385.0,1085.0,0.15517492592334747,0.0011543817818164825,7.189810276031494e-07,0.026642759330570698,0.04927991144359112,0.026642759330570698,0.0717938058078289,0.03408811800181866,0.05563658848404884,0.05563658848404884,0.070168387144804
MC_OFF,large_field_50ms,AC_off,probability,4,0.06734525039792061,0.06734525039792061,360.0,60.0,0.0005085032025817782,-0.0030836276710033417,-4.210147017147392e-05,0.026496524456888437,0.04176582768559456,0.026496524456888437,0.04176582768559456,0.002679254161193967,0.028309330344200134,0.048100121319293976,0.00023484063785872422
MC_ON,slow_step,normal,logit,5,0.4025126576423645,0.4025126576423645,1509.3333333333335,1209.3333333333335,0.35930654406547546,0.16047353744506837,-0.0008569121360778809,0.09292446970939636,0.2700977176427841,0.09292446970939636,-0.0033109068870544435,0.0,0.0,0.0,0.0
MC_ON,slow_1Hz,normal,logit,5,0.40251224040985106,0.40251224040985106,1009.3333333333334,709.3333333333334,0.3593897521495819,0.16047312021255494,-0.0007737040519714356,0.09292446970939636,0.2701116889715195,0.09292446970939636,-0.003315550088882446,0.0,0.0,0.0,0.0
