cohort,cell_id,fit,quantity,mode,effective_value,lower_bound,upper_bound,u,active_lower_bound,active_u,boundary,unit,median_zero,median_aligned,median_abs_change,median_relative_change,increase_count,decrease_count,rank_correlation,minimum,maximum,range,sample_SD,CV,NLL_spread
alignment_value,67#7,zero,BC_effective_weights,9,0.1527685672044754,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,BC_effective_weights,10,0.17013397812843323,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,BC_effective_weights,11,0.047584548592567444,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,AC_effective_gates,0,0.19325560331344604,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,AC_effective_gates,1,0.806744396686554,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,cell_BC_gains,0,0.7796017527580261,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,cell_AC_gains,0,1.2307051420211792,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,history_gate,0,0.0,,,,,,,,,,,,,,,,,,,,
alignment_value,67#7,zero,tau_H1,0,16.936798095703125,10.0,200.0,0.036509463661595395,10.0,0.036509463661595395,lower,ms,,,,,,,,,,,,,
alignment_value,67#7,zero,tau_BC_sustained_basis,0,23.86925506591797,20.0,200.0,0.021495861477322048,20.0,0.021495861477322048,lower,ms,,,,,,,,,,,,,
alignment_value,67#7,zero,tau_BC_sustained_basis,1,65.701904296875,20.0,200.0,0.2538994683159722,20.0,0.2538994683159722,interior,ms,,,,,,,,,,,,,
alignment_value,67#7,zero,tau_BC_sustained_basis,2,115.07254028320312,20.0,200.0,0.5281807793511285,20.0,0.5281807793511285,interior,ms,,,,,,,,,,,,,
alignment_value,67#7,zero,tau_BC_transient_basis,0,6.990528106689453,5.0,120.0,0.01730894005816916,5.0,0.01730894005816916,lower,ms,,,,,,,,,,,,,
alignment_value,67#7,zero,tau_BC_transient_basis,1,7.599343299865723,5.0,120.0,0.022602985216223677,5.0,0.022602985216223677,lower,ms,,,,,,,,,,,,,
alignment_value,67#7,zero,tau_BC_transient_basis,2,8.435609817504883,5.0,120.0,0.02987486797830333,5.0,0.02987486797830333,lower,ms,,,,,,,,,,,,,
alignment_value,67#7,zero,tau_AC_local_state,0,25.957061767578125,20.0,250.0,0.0259002685546875,20.0,0.0259002685546875,lower,ms,,,,,,,,,,,,,
alignment_value,67#7,zero,tau_AC_transient_state,0,15.93342113494873,15.0,180.0,0.0056570977875680635,15.0,0.0056570977875680635,lower,ms,,,,,,,,,,,,,
alignment_value,67#7,zero,delay_H1,0,17.31264877319336,0.0,20.0,0.865632438659668,0.0,0.865632438659668,interior,ms,,,,,,,,,,,,,
