cell_id,group,recording_id,model,contract,raw_Pearson,raw_Spearman,NCorr,FEV,Rel6,correlation_ceiling,normalization_status,FEV_status,NCorr_gap,FEV_gap,raw_correlation_gap,mean_predicted_probability,mean_repeat_occupancy,repeat_mean_variance,repeat_mean_noise_variance,signal_variance,MSE,MSE_signal,count_Rel6,extra_count_Rel6,multi_spike_bin_fraction,beyond_first_spike_fraction,event_rate_hz,artifact_class,protocol_sha256
67#21,PC_ON,lSS01130,LN,STIMULUS_ONLY_ZERO_HISTORY,0.5970749845672735,0.4643698331295158,0.6929403302208892,0.45701562547714847,0.7424480565804977,0.8616542558245144,DEFINED,DEFINED,0.3070596697791108,0.5429843745228515,0.2645792712572409,0.09714003081925815,0.11784722222222223,0.04539058159722223,0.011713734567901236,0.03367684702932099,0.029999736288018847,0.01828600172011761,0.757998417693548,0.5303749200557197,0.0075,0.06000738552437223,17.677083333333336,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,CNN,STIMULUS_ONLY_ZERO_HISTORY,0.688154427528182,0.5969525424283181,0.7986433338853403,0.5896989378723337,0.7424480565804977,0.8616542558245144,DEFINED,DEFINED,0.20135666611465974,0.41030106212766626,0.17349982829633237,0.1302644360449156,0.11784722222222223,0.04539058159722223,0.011713734567901236,0.03367684702932099,0.025531380673142583,0.013817646105241346,0.757998417693548,0.5303749200557197,0.0075,0.06000738552437223,17.677083333333336,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#26,PC_ON,lSS01141,aligned,STIMULUS_ONLY_ZERO_HISTORY,0.6493447094407404,0.603347798244392,0.7925953902077114,0.6241568570881852,0.6711931702624641,0.8192637977248013,DEFINED,DEFINED,0.20740460979228859,0.37584314291181475,0.16991908828406088,0.28786708364159697,0.2748379629629629,0.07533986571930727,0.024792438271604943,0.050547427447702326,0.043790342269656314,0.01899790399805137,0.7062543413499689,0.4969667062667208,0.01787037037037037,0.061719614351193296,41.22569444444445,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#26,PC_ON,lSS01141,LN,STIMULUS_ONLY_ZERO_HISTORY,0.6259315922716616,0.5408193900556817,0.7640171505319195,0.5725792115105923,0.6711931702624641,0.8192637977248013,DEFINED,DEFINED,0.23598284946808046,0.4274207884894077,0.19333220545313967,0.25147352948425883,0.2748379629629629,0.07533986571930727,0.024792438271604943,0.050547427447702326,0.046397459567413,0.021605021295808057,0.7062543413499689,0.4969667062667208,0.01787037037037037,0.061719614351193296,41.22569444444445,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#26,PC_ON,lSS01141,CNN,STIMULUS_ONLY_ZERO_HISTORY,0.6807523722725966,0.6142195766190001,0.8309318368065715,0.676562076871492,0.6711931702624641,0.8192637977248013,DEFINED,DEFINED,0.16906816319342854,0.32343792312850805,0.13851142545220474,0.2784368183114313,0.2748379629629629,0.07533986571930727,0.024792438271604943,0.050547427447702326,0.04114139322477873,0.016348954953173785,0.7062543413499689,0.4969667062667208,0.01787037037037037,0.061719614351193296,41.22569444444445,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#33,MC_OFF,lSS01159,aligned,STIMULUS_ONLY_ZERO_HISTORY,0.7063709396526366,0.7312607354567441,0.7714803824617148,0.5942245522572929,0.8383316711757164,0.9156045386386616,DEFINED,DEFINED,0.2285196175382852,0.40577544774270713,0.209233598986025,0.21311365603018076,0.2060648148148148,0.09041537851508916,0.01463734567901235,0.07577803283607681,0.04538621088213298,0.03074886520312063,0.8542320874637933,0.6922226507531759,0.035416666666666666,0.14919239223931952,30.90972222222222,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#33,MC_OFF,lSS01159,LN,STIMULUS_ONLY_ZERO_HISTORY,0.6792090756801772,0.7006082071968465,0.7418148851577759,0.540503919218666,0.8383316711757164,0.9156045386386616,DEFINED,DEFINED,0.25818511484222406,0.45949608078133397,0.23639546295848446,0.17890887803420963,0.2060648148148148,0.09041537851508916,0.01463734567901235,0.07577803283607681,0.04945705477650888,0.03481970909749653,0.8542320874637933,0.6922226507531759,0.035416666666666666,0.14919239223931952,30.90972222222222,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#33,MC_OFF,lSS01159,CNN,STIMULUS_ONLY_ZERO_HISTORY,0.7591431511714509,0.72997733338879,0.8291168502726728,0.6382698348113642,0.8383316711757164,0.9156045386386616,DEFINED,DEFINED,0.1708831497273272,0.36173016518863577,0.15646138746721072,0.2336113973246831,0.2060648148148148,0.09041537851508916,0.01463734567901235,0.07577803283607681,0.04204854601447628,0.02741120033546393,0.8542320874637933,0.6922226507531759,0.035416666666666666,0.14919239223931952,30.90972222222222,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#34,PC_ON,lSS01167,aligned,STIMULUS_ONLY_ZERO_HISTORY,0.6939135381972683,0.6734378804085069,0.7765071370660609,0.6006735788860154,0.7985825528848931,0.8936344626774938,DEFINED,DEFINED,0.2234928629339391,0.39932642111398464,0.1997209244802255,0.1901434707448425,0.19972222222222222,0.07961720679012345,0.016043209876543212,0.06357399691358023,0.041429986539954715,0.025386776663411503,0.806528849130557,0.3767038231174304,0.009930555555555555,0.04736667770785028,29.958333333333332,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#34,PC_ON,lSS01167,LN,STIMULUS_ONLY_ZERO_HISTORY,0.7058190465390971,0.6448414419688634,0.7898297078028224,0.6067387933248305,0.7985825528848931,0.8936344626774938,DEFINED,DEFINED,0.21017029219717764,0.3932612066751695,0.1878154161383967,0.1677046673885732,0.19972222222222222,0.07961720679012345,0.016043209876543212,0.06357399691358023,0.04104439661594128,0.02500118673939807,0.806528849130557,0.3767038231174304,0.009930555555555555,0.04736667770785028,29.958333333333332,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
