split,cell_id,group,quantile,bins,event_rate,local_mean,LSC,aligned_nll,LN_nll,CNN_nll,aligned_minus_LN,aligned_minus_CNN
consumed,68#3,MC_OFF,5,6839,0.21830676999561338,2.7771147253081394,1.3001385386879023,0.4074810833402312,0.4191204168154102,0.43862212784160604,-0.011639333475178938,-0.031141044501374827
consumed,68#4,PC_ON,1,8232,0.23675898931000972,-0.5335241731891242,0.011041434245718315,0.510005675919258,0.5106476469986327,0.5203418227596941,-0.0006419710793745825,-0.010336146840436005
consumed,68#4,PC_ON,2,4566,0.18396846254927726,-0.07218536840994821,0.04359115897090227,0.43893874156383045,0.4416940817767451,0.4571887084356259,-0.002755340212914581,-0.018249966871795475
consumed,68#4,PC_ON,3,4458,0.18595782862270077,0.2584632527813927,0.08874846704731572,0.4512883685454137,0.45029373270132683,0.4722571316354095,0.0009946358440868712,-0.0209687630899957
consumed,68#4,PC_ON,4,5928,0.18437921727395412,0.8578272752774692,0.1963064734769565,0.44362930302815334,0.43976942334973607,0.462160480219254,0.0038598796784173506,-0.018531177191100603
consumed,68#4,PC_ON,5,5616,0.13995726495726496,2.7348722655738555,0.8126180343041467,0.357026459032925,0.35199555964021856,0.36954419409152645,0.005030899392706441,-0.012517735058601405
consumed,68#7,PC_ON,1,9121,0.11884661769542813,-0.5457538058266211,0.014213997745983125,0.28437676221484764,0.2846069717660598,0.2618946208708506,-0.0002302095512121441,0.022482141343997127
consumed,68#7,PC_ON,2,5852,0.1621667805878332,-0.1122021020503271,0.05286200546402825,0.3532750898313052,0.3561206343888572,0.348270500940572,-0.0028455445575521054,0.005004588890733119
consumed,68#7,PC_ON,3,5817,0.19253910950661854,0.2770549450036307,0.11089848659403662,0.41557395183857326,0.41885500104031176,0.42595292491601977,-0.0032810492017384925,-0.010378973077446521
consumed,68#7,PC_ON,4,6363,0.23558070092723557,0.9240435015992774,0.25552085905402294,0.4559967455283036,0.4573033657387373,0.4533682426843406,-0.001306620210433689,0.0026285028439630067
consumed,68#7,PC_ON,5,6447,0.3488444237629905,2.7539639161200546,1.0112825070635554,0.5192242220364702,0.5312239400858129,0.5299044301234637,-0.011999718049342628,-0.010680208086993447
consumed,68#10,MC_ON,1,1290,0.12403100775193798,-0.5020454869670372,0.030001868521115582,0.2848874625566217,0.28409768593233714,0.25983101976622985,0.0007897766242844644,0.025056442790391726
consumed,68#10,MC_ON,2,794,0.181360201511335,-0.1082138690918099,0.09344586852492921,0.352368134907314,0.3315232003473032,0.3405751125461661,0.02084493456001073,0.011793022361147865
consumed,68#10,MC_ON,3,968,0.1859504132231405,0.1035249859636423,0.19118393746551626,0.34991308506646884,0.33823626396189427,0.35419525882554975,0.011676821104574605,-0.00428217375908093
consumed,68#10,MC_ON,4,722,0.21745152354570638,0.8836662533154664,0.3687606090130533,0.4295912504235958,0.4113045081922022,0.4416161218917693,0.018286742231393514,-0.01202487146817343
consumed,68#10,MC_ON,5,1026,0.3216374269005848,2.4153379325161426,1.1884959639159012,0.48529505745311674,0.46857733744179864,0.5129308680881751,0.016717720011318084,-0.02763581063505832
consumed,68#11,PC_OFF,1,8995,0.29138410227904393,-0.5470299535214859,0.009999487372569314,0.5148267037233286,0.5164596717056713,0.5570271021049442,-0.0016329679823427546,-0.042200398381615656
consumed,68#11,PC_OFF,2,6454,0.18779051750852185,-0.04703968443668589,0.04331815085420148,0.42829717250275445,0.4200929307168301,0.470617913722954,0.008204241785924316,-0.042320741220199486
