split,cell_id,comparator,mean_stratum,low_bins,high_bins,overlap_count,weight,eligible,excess_nll,low_local_mean,high_local_mean
consumed,67#7,LN,3,581,364,364,0.49056603773584906,True,0.018218721567286076,-0.05604147306081745,0.012781684896953475
consumed,67#7,LN,4,266,1449,266,0.3584905660377358,True,-0.013717967524288326,0.5450769809254429,0.6933628709925393
consumed,67#7,LN,5,49,4627,49,0.0660377358490566,True,0.2149233924150514,2.0921435228415897,3.8475755661520976
consumed,67#7,CNN,1,6097,0,0,0.0,False,,-0.7448920716288854,
consumed,67#7,CNN,2,840,63,63,0.08490566037735849,True,0.026125985415980338,-0.4371824676584866,-0.3937770866711313
consumed,67#7,CNN,3,581,364,364,0.49056603773584906,True,0.06401300368296155,-0.05604147306081745,0.012781684896953475
consumed,67#7,CNN,4,266,1449,266,0.3584905660377358,True,-0.031241308100771997,0.5450769809254429,0.6933628709925393
consumed,67#7,CNN,5,49,4627,49,0.0660377358490566,True,0.2689520648537525,2.0921435228415897,3.8475755661520976
consumed,67#14,LN,1,6279,0,0,0.0,False,,-0.7499306651461484,
consumed,67#14,LN,2,861,77,77,0.07051282051282051,True,0.03053915771630747,-0.4462404254127324,-0.38215153257955203
consumed,67#14,LN,3,686,609,609,0.5576923076923077,True,0.009882399665496835,-0.10254096603157635,-0.033769065059584984
consumed,67#14,LN,4,308,1603,308,0.28205128205128205,True,0.0141040564635265,0.5175167069008405,0.6386253930414533
consumed,67#14,LN,5,98,4242,98,0.08974358974358974,True,-0.049376441225553014,2.986542976328305,3.974320067711641
consumed,67#14,CNN,1,6279,0,0,0.0,False,,-0.7499306651461484,
consumed,67#14,CNN,2,861,77,77,0.07051282051282051,True,0.07400577412160707,-0.4462404254127324,-0.38215153257955203
consumed,67#14,CNN,3,686,609,609,0.5576923076923077,True,0.05015271269210387,-0.10254096603157635,-0.033769065059584984
consumed,67#14,CNN,4,308,1603,308,0.28205128205128205,True,-0.004240983809645021,0.5175167069008405,0.6386253930414533
consumed,67#14,CNN,5,98,4242,98,0.08974358974358974,True,-0.08179306967813343,2.986542976328305,3.974320067711641
consumed,67#21,LN,1,6454,7,7,0.0058823529411764705,True,0.001502890567245994,-0.7459287857737821,-0.5673859305679798
consumed,67#21,LN,2,938,112,112,0.09411764705882353,True,0.01567468760875867,-0.43868015178326353,-0.3747267911094241
consumed,67#21,LN,3,833,672,672,0.5647058823529412,True,0.018542379982141824,-0.08283135176117423,0.0004478782855888615
consumed,67#21,LN,4,308,1351,308,0.25882352941176473,True,0.021561272553324275,0.546034358357164,0.5795874303774402
